state,humans,poverty,muslim,pPEP,vc,hdr,dogs
Abia,4535113,0.43,0.46,0.52,0.11,14.4,767028
Adamawa,5066774,0.43,0.46,0.52,0.11,14.4,767028
Akwa Ibom,6219289,0.43,0.46,0.52,0.11,14.4,767028
Anambra,6658837,0.43,0.46,0.52,0.11,14.4,767028
Bauchi,7416295,0.43,0.46,0.52,0.11,14.4,767028
Bayelsa,2716743,0.43,0.46,0.52,0.11,14.4,767028
Benue,6779671,0.43,0.46,0.52,0.11,14.4,767028
Borno,6648119,0.43,0.46,0.52,0.11,14.4,767028
Cross River,4610993,0.43,0.46,0.52,0.11,14.4,767028
Delta,6554626,0.43,0.46,0.52,0.11,14.4,767028
Ebonyi,3469730,0.43,0.46,0.52,0.11,14.4,767028
Edo,5153505,0.43,0.46,0.52,0.11,14.4,767028
Ekiti,3823581,0.43,0.46,0.52,0.11,14.4,767028
Enugu,5208446,0.43,0.46,0.52,0.11,14.4,767028
Gombe,3769522,0.43,0.46,0.52,0.11,14.4,767028
Imo,6259951,0.43,0.46,0.52,0.11,14.4,767028
Jigawa,6950789,0.43,0.46,0.52,0.11,14.4,767028
Kaduna,9744015,0.43,0.46,0.52,0.11,14.4,767028
Kano,14984255,0.43,0.46,0.52,0.11,14.4,767028
Katsina,9246862,0.43,0.46,0.52,0.11,14.4,767028
Kebbi,5190442,0.43,0.46,0.52,0.11,14.4,767028
Kogi,5282092,0.43,0.46,0.52,0.11,14.4,767028
Kwara,3770021,0.43,0.46,0.52,0.11,14.4,767028
Lagos,14525731,0.43,0.46,0.52,0.11,14.4,767028
Nasarawa,2979509,0.43,0.46,0.52,0.11,14.4,767028
Niger,6303318,0.43,0.46,0.52,0.11,14.4,767028
Ogun,5978759,0.43,0.46,0.52,0.11,14.4,767028
Ondo,5516123,0.43,0.46,0.52,0.11,14.4,767028
Osun,5446124,0.43,0.46,0.52,0.11,14.4,767028
Oyo,8895115,0.43,0.46,0.52,0.11,14.4,767028
Plateau,5110734,0.43,0.46,0.52,0.11,14.4,767028
Rivers,8285980,0.43,0.46,0.52,0.11,14.4,767028
Sokoto,5901515,0.43,0.46,0.52,0.11,14.4,767028
Taraba,3657570,0.43,0.46,0.52,0.11,14.4,767028
Yobe,3699869,0.43,0.46,0.52,0.11,14.4,767028
Zamfara,5226036,0.43,0.46,0.52,0.11,14.4,767028
Federal Capital Territory,2241336,0.43,0.46,0.52,0.11,14.4,767028
,,,,,,,
