state,humans,poverty,muslim,HDR,vax_dogs
Abia,4535113,0.31,0.00,,2703
Adamawa,5066774,0.75,0.50,7.8,3644
Akwa Ibom,6219289,0.27,0.00,,2944
Anambra,6658837,0.15,0.01,,290
Bauchi,7416295,0.62,0.83,4.1,3532
Bayelsa,2716743,0.23,0.10,,975
Benue,6779671,0.31,0.03,,5911
Borno,6648119,NA,0.88,4.1,0
Cross River,4610993,0.36,0.03,,3687
Delta,6554626,0.06,0.01,,0
Ebonyi,3469730,0.80,0.01,,1396
Edo,5153505,0.12,0.19,,1178
Ekiti,3823581,0.27,0.11,,1246
Enugu,5208446,0.58,0.01,,1297
Gombe,3769522,0.62,0.80,,3862
Imo,6259951,0.29,0.00,,749
Jigawa,6950789,0.87,0.98,,4840
Kaduna,9744015,0.43,0.56,,4043
Kano,14984255,0.55,0.97,,633
Katsina,9246862,0.56,0.95,,656
Kebbi,5190442,0.50,0.92,,1
Kogi,5282092,0.29,0.52,,464
Kwara,3770021,0.20,0.76,13,1660
Lagos,14525731,0.05,0.56,5.6,1487
Nasarawa,2979509,0.57,0.57,5.45,2900
Niger,6303318,0.66,0.62,5.4,18596
Ogun,5978759,0.09,0.59,,412
Ondo,5516123,0.13,0.14,,3300
Osun,5446124,0.09,0.53,,2031
Oyo,8895115,0.10,0.58,,1328
Plateau,5110734,0.55,0.29,,4556
Rivers,8285980,0.24,0.00,,548
Sokoto,5901515,0.88,0.99,,146
Taraba,3657570,0.88,0.41,,6526
Yobe,3699869,0.72,0.95,,2072
Zamfara,5226036,0.74,0.99,,2018
Federal Capital Territory,2241336,0.39,0.49,,1892
