"state","humans","poverty","muslim","HDR","vax_dogs","pPEP","vc","hdr","dogs"
"Abia",4535113,0.31,0,NA,2703,0.82491373183596,0.17777841378391,3,1511704.33333333
"Adamawa",5066774,0.75,0.5,7.8,3644,0.977022630089974,0.0197001615348067,15.5,326888.64516129
"Akwa Ibom",6219289,0.27,0,NA,2944,0.794129628199053,0.214764202010358,3,2073096.33333333
"Anambra",6658837,0.15,0.01,NA,290,0.679178699175393,0.357571975305334,3.25,2048872.92307692
"Bauchi",7416295,0.62,0.83,4.1,3532,0.956892745058914,0.0365178472371611,23.75,312265.052631579
"Bayelsa",2716743,0.23,0.1,NA,975,0.759510916949111,0.257238486579026,5.5,493953.272727273
"Benue",6779671,0.31,0.03,NA,5911,0.82491373183596,0.17777841378391,3.75,1807912.26666667
"Borno",6648119,NA,0.88,4.1,0,NA,NA,25,265924.76
"Cross River",4610993,0.36,0.03,NA,3687,0.858148935099512,0.139029536692268,3.75,1229598.13333333
"Delta",6554626,0.06,0.01,NA,0,0.574442516811659,0.487579475888687,3.25,2016808
"Ebonyi",3469730,0.8,0.01,NA,1396,0.982013790037908,0.0159320079174402,3.25,1067609.23076923
"Edo",5153505,0.12,0.19,NA,1178,0.645656306225795,0.399534166384597,7.75,664968.387096774
"Ekiti",3823581,0.27,0.11,NA,1246,0.794129628199053,0.214764202010358,5.75,664970.608695652
"Enugu",5208446,0.58,0.01,NA,1297,0.947846436921582,0.0447257072830499,3.25,1602598.76923077
"Gombe",3769522,0.62,0.8,NA,3862,0.956892745058914,0.0365178472371611,23,163892.260869565
"Imo",6259951,0.29,0,NA,749,0.809998433984687,0.19558762181866,3,2086650.33333333
"Jigawa",6950789,0.87,0.98,NA,4840,0.987257650535888,0.0122100083978523,27.5,252755.963636364
"Kaduna",9744015,0.43,0.56,NA,4043,0.895668776880999,0.0973289883515712,17,573177.352941177
"Kano",14984255,0.55,0.97,NA,633,0.939913349825992,0.0521887438116788,27.25,549880.917431193
"Katsina",9246862,0.56,0.95,NA,656,0.942675824101131,0.0495637645345379,26.75,345677.08411215
"Kebbi",5190442,0.5,0.92,NA,1,0.924141819978757,0.0676584892767115,26,199632.384615385
"Kogi",5282092,0.29,0.52,NA,464,0.809998433984687,0.19558762181866,16,330130.75
"Kwara",3770021,0.2,0.76,13,1660,0.731058578630005,0.292605244888121,22,171364.590909091
"Lagos",14525731,0.05,0.56,5.6,1487,0.562176500885798,0.5025,17,854454.764705882
"Nasarawa",2979509,0.57,0.57,5.45,2900,0.945318682784059,0.0470783229828236,17.25,172725.15942029
"Niger",6303318,0.66,0.62,5.4,18596,0.964428810727364,0.0299615273427123,18.5,340719.891891892
"Ogun",5978759,0.09,0.59,NA,412,0.610639233949222,0.443084918979143,17.75,336831.492957746
"Ondo",5516123,0.13,0.14,NA,3300,0.657010462673499,0.385340864604597,6.5,848634.307692308
"Osun",5446124,0.09,0.53,NA,2031,0.610639233949222,0.443084918979143,16.25,335146.092307692
"Oyo",8895115,0.1,0.58,NA,1328,0.622459331201855,0.428429695772399,17.5,508292.285714286
"Plateau",5110734,0.55,0.29,NA,4556,0.939913349825992,0.0521887438116788,10.25,498608.195121951
"Rivers",8285980,0.24,0,NA,548,0.768524783499018,0.246108759191314,3,2761993.33333333
"Sokoto",5901515,0.88,0.99,NA,146,0.987871565015726,0.0117929967600276,27.75,212667.207207207
"Taraba",3657570,0.88,0.41,NA,6526,0.987871565015726,0.0117929967600276,13.25,276043.018867925
"Yobe",3699869,0.72,0.95,NA,2072,0.973403006423134,0.0225481586380241,26.75,138312.859813084
"Zamfara",5226036,0.74,0.99,NA,2018,0.975872978582331,0.0205949216257184,27.75,188325.621621622
"Federal Capital Territory",2241336,0.39,0.49,NA,1892,0.875446641812584,0.119491398385322,15.25,146972.852459016
