"state","humans","poverty","muslim","HDR","vax_dogs","pPEP","vc","hdr","dogs"
"Abia",4535113,0.31,0,NA,2703,0.511256451575789,0.0913455532075086,2,2267556.5
"Adamawa",5066774,0.75,0.5,7.8,3644,0.404015710554571,0.0505304145001288,14.5,349432.689655172
"Akwa Ibom",6219289,0.27,0,NA,2944,0.543200371094254,0.110387717418303,2,3109644.5
"Anambra",6658837,0.15,0.01,NA,290,0.670099601612513,0.224725641048529,2.25,2959483.11111111
"Bauchi",7416295,0.62,0.83,4.1,3532,0.411223905972613,0.0519433518809359,22.75,325990.989010989
"Bayelsa",2716743,0.23,0.1,NA,975,0.580920870398477,0.137356822434454,4.5,603720.666666667
"Benue",6779671,0.31,0.03,NA,5911,0.511256451575789,0.0913455532075086,2.75,2465334.90909091
"Borno",6648119,0.7,0.88,4.1,0,0.405971081120143,0.050874189036306,24,277004.958333333
"Cross River",4610993,0.36,0.03,NA,3687,0.479433324125239,0.0755142628455691,2.75,1676724.72727273
"Delta",6554626,0.06,0.01,NA,0,0.776288659787917,0.388803111590318,2.25,2913167.11111111
"Ebonyi",3469730,0.8,0.01,NA,1396,0.402697763896565,0.0503217833480294,2.25,1542102.22222222
"Edo",5153505,0.12,0.19,NA,1178,0.705999200127979,0.271595988982884,6.75,763482.222222222
"Ekiti",3823581,0.27,0.11,NA,1246,0.543200371094254,0.110387717418303,4.75,804964.421052632
"Enugu",5208446,0.58,0.01,NA,1297,0.415348472987205,0.0528962264587126,2.25,2314864.88888889
"Gombe",3769522,0.62,0.8,NA,3862,0.411223905972613,0.0519433518809359,22,171341.909090909
"Imo",6259951,0.29,0,NA,749,0.526490976086648,0.100017612513538,2,3129975.5
"Jigawa",6950789,0.87,0.98,NA,4840,0.401543963892286,0.0501598201335709,26.5,262293.924528302
"Kaduna",9744015,0.43,0.56,NA,4043,0.448103747303687,0.0628436576636711,16,609000.9375
"Kano",14984255,0.55,0.97,NA,633,0.41937727881907,0.053905331366214,26.25,570828.761904762
"Katsina",9246862,0.56,0.95,NA,656,0.417932007882182,0.053535072875759,25.75,359101.436893204
"Kebbi",5190442,0.5,0.92,NA,1,0.42845552390654,0.0564216774851775,25,207617.68
"Kogi",5282092,0.29,0.52,NA,464,0.526490976086648,0.100017612513538,15,352139.466666667
"Kwara",3770021,0.2,0.76,13,1660,0.612606216264523,0.164244019344363,21,179524.80952381
"Lagos",14525731,0.05,0.56,5.6,1487,0.787393783735477,0.410898889274064,16,907858.1875
"Nasarawa",2979509,0.57,0.57,5.45,2900,0.416591453393694,0.0531997993016845,16.25,183354.4
"Niger",6303318,0.66,0.62,5.4,18596,0.408192195458411,0.0513035468399876,17.5,360189.6
"Ogun",5978759,0.09,0.59,NA,412,0.741727734363537,0.326554336062186,16.75,356940.835820896
"Ondo",5516123,0.13,0.14,NA,3300,0.694000799872021,0.255060170281389,5.5,1002931.45454545
"Osun",5446124,0.09,0.53,NA,2031,0.741727734363537,0.326554336062186,15.25,357122.885245902
"Oyo",8895115,0.1,0.58,NA,1328,0.729900398387487,0.307366473768159,16.5,539097.878787879
"Plateau",5110734,0.55,0.29,NA,4556,0.41937727881907,0.053905331366214,9.25,552511.783783784
"Rivers",8285980,0.24,0,NA,548,0.570974736579406,0.12974151030268,2,4142990
"Sokoto",5901515,0.88,0.99,NA,146,0.401425540339867,0.0501446135521815,26.75,220617.38317757
"Taraba",3657570,0.88,0.41,NA,6526,0.401425540339867,0.0501446135521815,12.25,298577.142857143
"Yobe",3699869,0.72,0.95,NA,2072,0.405095717710987,0.0507158448536528,25.75,143684.233009709
"Zamfara",5226036,0.74,0.99,NA,2018,0.404347743757499,0.0505861642603917,26.75,195365.831775701
"Federal Capital Territory",2241336,0.39,0.49,NA,1892,0.464300842291917,0.0690339235819482,14.25,157286.736842105
