"state","humans","poverty","muslim","HDR","vax_dogs","pPEP","vc","hdr","dogs"
"Abia",4535113,0.31,0,NA,2703,0.511256451575789,0.100970307518798,3,1511704.33333333
"Adamawa",5066774,0.75,0.5,7.8,3644,0.404015710554571,0.0170973902124281,15.5,326888.64516129
"Akwa Ibom",6219289,0.27,0,NA,2944,0.543200371094254,0.122833564516116,3,2073096.33333333
"Anambra",6658837,0.15,0.01,NA,290,0.670099601612513,0.21693959492196,3.25,2048872.92307692
"Bauchi",7416295,0.62,0.83,4.1,3532,0.411223905972613,0.0253527212758327,23.75,312265.052631579
"Bayelsa",2716743,0.23,0.1,NA,975,0.580920870398477,0.149138096489346,5.5,493953.272727273
"Benue",6779671,0.31,0.03,NA,5911,0.511256451575789,0.100970307518798,3.75,1807912.26666667
"Borno",6648119,0.7,0.88,4.1,0,0.405971081120143,0.0195565053858434,25,265924.76
"Cross River",4610993,0.36,0.03,NA,3687,0.479433324125239,0.0790366383602408,3.75,1229598.13333333
"Delta",6554626,0.06,0.01,NA,0,0.776288659787917,0.318880584427584,3.25,2016808
"Ebonyi",3469730,0.8,0.01,NA,1396,0.402697763896565,0.0152676638093653,3.25,1067609.23076923
"Edo",5153505,0.12,0.19,NA,1178,0.705999200127979,0.247942651101146,7.75,664968.387096774
"Ekiti",3823581,0.27,0.11,NA,1246,0.543200371094254,0.122833564516116,5.75,664970.608695652
"Enugu",5208446,0.58,0.01,NA,1297,0.415348472987205,0.0294353793933322,3.25,1602598.76923077
"Gombe",3769522,0.62,0.8,NA,3862,0.411223905972613,0.0253527212758327,23,163892.260869565
"Imo",6259951,0.29,0,NA,749,0.526490976086648,0.11138099775672,3,2086650.33333333
"Jigawa",6950789,0.87,0.98,NA,4840,0.401543963892286,0.0134674291537373,27.5,252755.963636364
"Kaduna",9744015,0.43,0.56,NA,4043,0.448103747303687,0.0564716970719726,17,573177.352941177
"Kano",14984255,0.55,0.97,NA,633,0.41937727881907,0.033178632692378,27.25,549880.917431193
"Katsina",9246862,0.56,0.95,NA,656,0.417932007882182,0.031858617404481,26.75,345677.08411215
"Kebbi",5190442,0.5,0.92,NA,1,0.42845552390654,0.0410336796396759,26,199632.384615385
"Kogi",5282092,0.29,0.52,NA,464,0.526490976086648,0.11138099775672,16,330130.75
"Kwara",3770021,0.2,0.76,13,1660,0.612606216264523,0.172085908597499,22,171364.590909091
"Lagos",14525731,0.05,0.56,5.6,1487,0.787393783735477,0.331772719429977,17,854454.764705882
"Nasarawa",2979509,0.57,0.57,5.45,2900,0.416591453393694,0.0306121738573896,17.25,172725.15942029
"Niger",6303318,0.66,0.62,5.4,18596,0.408192195458411,0.0221169725405779,18.5,340719.891891892
"Ogun",5978759,0.09,0.59,NA,412,0.741727734363537,0.281977236328197,17.75,336831.492957746
"Ondo",5516123,0.13,0.14,NA,3300,0.694000799872021,0.237266929582669,6.5,848634.307692308
"Osun",5446124,0.09,0.53,NA,2031,0.741727734363537,0.281977236328197,16.25,335146.092307692
"Oyo",8895115,0.1,0.58,NA,1328,0.729900398387487,0.270303027318529,17.5,508292.285714286
"Plateau",5110734,0.55,0.29,NA,4556,0.41937727881907,0.033178632692378,10.25,498608.195121951
"Rivers",8285980,0.24,0,NA,548,0.570974736579406,0.14211664886319,3,2761993.33333333
"Sokoto",5901515,0.88,0.99,NA,146,0.401425540339867,0.0132661679902715,27.75,212667.207207207
"Taraba",3657570,0.88,0.41,NA,6526,0.401425540339867,0.0132661679902715,13.25,276043.018867925
"Yobe",3699869,0.72,0.95,NA,2072,0.405095717710987,0.0184851219590747,26.75,138312.859813084
"Zamfara",5226036,0.74,0.99,NA,2018,0.404347743757499,0.0175329288808148,27.75,188325.621621622
"Federal Capital Territory",2241336,0.39,0.49,NA,1892,0.464300842291917,0.0683343495614378,15.25,146972.852459016
