"state","output","LL","Median","UL","year","scenario"
"Abia","ts_deaths",455,482,507.55,1,"status quo"
"Abia","ts_deaths",455.475,489,524.325,2,"status quo"
"Abia","ts_deaths",438.425,482,566.6,3,"status quo"
"Abia","ts_deaths",453.95,499.5,547.7,4,"status quo"
"Abia","ts_deaths",464.175,507,530.325,5,"status quo"
"Abia","ts_deaths",474.725,518.5,544.725,6,"status quo"
"Abia","ts_deaths",452.35,509.5,540.55,7,"status quo"
"Abia","ts_deaths",477.025,492.5,514,8,"status quo"
"Abia","ts_deaths",436.15,497.5,547.7,9,"status quo"
"Abia","ts_deaths",456.05,497,527.775,10,"status quo"
"Abia","ts_vaccine_vials",5502.5,5769,6165.05,1,"status quo"
"Abia","ts_vaccine_vials",5751.1,6049,6396.55,2,"status quo"
"Abia","ts_vaccine_vials",5618.15,6056,6429.2,3,"status quo"
"Abia","ts_vaccine_vials",5916.3,6253,6423.6,4,"status quo"
"Abia","ts_vaccine_vials",5764.25,6306,6462.75,5,"status quo"
"Abia","ts_vaccine_vials",5940.75,6221,6789.85,6,"status quo"
"Abia","ts_vaccine_vials",5854.1,6162,6564.45,7,"status quo"
"Abia","ts_vaccine_vials",5793.1,6201,6721.9,8,"status quo"
"Abia","ts_vaccine_vials",5741.3,6264,6370.6,9,"status quo"
"Abia","ts_vaccine_vials",5921.25,6132,6415.15,10,"status quo"
"Abia","ts_rabid_dogs",14328.666875,15191.3125,15870.7025,1,"status quo"
"Abia","ts_rabid_dogs",15038.4759375,15643.06875,16292.71625,2,"status quo"
"Abia","ts_rabid_dogs",14713.596875,15564.5,16791.4196875,3,"status quo"
"Abia","ts_rabid_dogs",14848.7484375,15969.0875,16312.6015625,4,"status quo"
"Abia","ts_rabid_dogs",15126.5521875,15825.94375,16816.06,5,"status quo"
"Abia","ts_rabid_dogs",15566.8515625,15889.95,16800.701875,6,"status quo"
"Abia","ts_rabid_dogs",14951.1859375,15847.4875,16949.6025,7,"status quo"
"Abia","ts_rabid_dogs",15308.3821875,16086.46875,16962.3759375,8,"status quo"
"Abia","ts_rabid_dogs",14748.46,16035.04375,16694.28375,9,"status quo"
"Abia","ts_rabid_dogs",15133.8271875,15863.00625,16318.084375,10,"status quo"
"Adamawa","ts_deaths",123.45,147.5,169,1,"status quo"
"Adamawa","ts_deaths",113.375,142,160.2,2,"status quo"
"Adamawa","ts_deaths",127.35,141,155.65,3,"status quo"
"Adamawa","ts_deaths",121.9,148.5,157.55,4,"status quo"
"Adamawa","ts_deaths",130.7,141.5,158.75,5,"status quo"
"Adamawa","ts_deaths",121.225,140.5,173.925,6,"status quo"
"Adamawa","ts_deaths",128.35,143.5,161.325,7,"status quo"
"Adamawa","ts_deaths",130.675,151.5,167.325,8,"status quo"
"Adamawa","ts_deaths",123.15,153,160,9,"status quo"
"Adamawa","ts_deaths",134.025,149.5,158.75,10,"status quo"
"Adamawa","ts_vaccine_vials",1098.3,1161,1265.15,1,"status quo"
"Adamawa","ts_vaccine_vials",1027.15,1130,1251.45,2,"status quo"
"Adamawa","ts_vaccine_vials",1056,1148,1279.6,3,"status quo"
"Adamawa","ts_vaccine_vials",1105.4,1185,1253.1,4,"status quo"
"Adamawa","ts_vaccine_vials",1077.35,1155,1208.85,5,"status quo"
"Adamawa","ts_vaccine_vials",1054.1,1122,1191.05,6,"status quo"
"Adamawa","ts_vaccine_vials",1098.7,1180,1274.8,7,"status quo"
"Adamawa","ts_vaccine_vials",1003.35,1147,1262.05,8,"status quo"
"Adamawa","ts_vaccine_vials",1055.55,1175,1276.75,9,"status quo"
"Adamawa","ts_vaccine_vials",1034,1167,1342.95,10,"status quo"
"Adamawa","ts_rabid_dogs",3630.775,3747.43125,3903.79375,1,"status quo"
"Adamawa","ts_rabid_dogs",3619.0828125,3743.05625,3996.9325,2,"status quo"
"Adamawa","ts_rabid_dogs",3610.919375,3800.0625,3918.8659375,3,"status quo"
"Adamawa","ts_rabid_dogs",3573.096875,3775.9,3957.15125,4,"status quo"
"Adamawa","ts_rabid_dogs",3558.871875,3782.4125,3944.8546875,5,"status quo"
"Adamawa","ts_rabid_dogs",3670.0978125,3785.2875,3990.809375,6,"status quo"
"Adamawa","ts_rabid_dogs",3611.785,3872.65,3957.2228125,7,"status quo"
"Adamawa","ts_rabid_dogs",3606.5796875,3809.375,3933.6096875,8,"status quo"
"Adamawa","ts_rabid_dogs",3622.84125,3753.58125,3906.0228125,9,"status quo"
"Adamawa","ts_rabid_dogs",3518.5559375,3785.1375,3964.2278125,10,"status quo"
"Akwa Ibom","ts_deaths",540.525,578,592.775,1,"status quo"
"Akwa Ibom","ts_deaths",536.475,602,666.025,2,"status quo"
"Akwa Ibom","ts_deaths",579.8,615,640.65,3,"status quo"
"Akwa Ibom","ts_deaths",566.125,616.5,676.025,4,"status quo"
"Akwa Ibom","ts_deaths",569.675,613,693.25,5,"status quo"
"Akwa Ibom","ts_deaths",560.275,610,698.85,6,"status quo"
"Akwa Ibom","ts_deaths",560.55,654,696.775,7,"status quo"
"Akwa Ibom","ts_deaths",570.575,634.5,678.3,8,"status quo"
"Akwa Ibom","ts_deaths",576.675,605.5,646.2,9,"status quo"
"Akwa Ibom","ts_deaths",564.125,607,672.3,10,"status quo"
"Akwa Ibom","ts_vaccine_vials",7339.45,8012,8405.8,1,"status quo"
