"state","output","Mean","LL","UL"
"Abia","ts_deaths",497.45,456.3325,535.125
"Abia","ts_rabid_dogs",15791.586875,14976.47471875,16580.85484375
"Abia","ts_vaccine_vials",6141.3,5780.28,6473.91
"Adamawa","ts_deaths",145.85,125.42,162.2475
"Adamawa","ts_rabid_dogs",3785.489375,3602.2605625,3947.3490625
"Adamawa","ts_vaccine_vials",1157,1060.99,1260.575
"Akwa Ibom","ts_deaths",613.55,562.48,666.115
"Akwa Ibom","ts_rabid_dogs",20692.82375,19394.69471875,21640.7554375
"Akwa Ibom","ts_vaccine_vials",8531.8,7997.825,8977.12
"Anambra","ts_deaths",211.55,182.3,238.885
"Anambra","ts_rabid_dogs",9700.2725,8905.78575,11116.5891875
"Anambra","ts_vaccine_vials",4957.8,4507.085,5681.71
"Bauchi","ts_deaths",134.25,119.215,153.04
"Bauchi","ts_rabid_dogs",3592.96375,3425.8181875,3733.2640625
"Bauchi","ts_vaccine_vials",1108.7,1019.005,1204.865
"Bayelsa","ts_deaths",117.6,98.23,139.9725
"Bayelsa","ts_rabid_dogs",4267.91375,3894.13840625,4855.84934375
"Bayelsa","ts_vaccine_vials",1891.8,1702.36,2158.9
"Benue","ts_deaths",622.75,545.55,762.5525
"Benue","ts_rabid_dogs",19247.42125,17585.72409375,24007.40040625
"Benue","ts_vaccine_vials",7505.9,6806.24,9327.96
"Borno","ts_deaths",116.15,97.4175,129.6025
"Borno","ts_rabid_dogs",3065.06625,2943.4403125,3172.8705
"Borno","ts_vaccine_vials",936.8,856.14,1012.07
"Cross River","ts_deaths",471.1,418.44,552.5075
"Cross River","ts_rabid_dogs",14086.235625,12704.63615625,16479.28403125
"Cross River","ts_vaccine_vials",5147.7,4589.24,6025.855
"Delta","ts_deaths",23.6,14.4875,33.835
"Delta","ts_rabid_dogs",1632.895625,1268.969125,2054.06903125
"Delta","ts_vaccine_vials",961.3,753.285,1207.545
"Ebonyi","ts_deaths",438.15,377.8925,514.555
"Ebonyi","ts_rabid_dogs",11320.899375,9970.49425,13251.29078125
"Ebonyi","ts_vaccine_vials",3437.1,3047.4,4086.04
"Edo","ts_deaths",37.1,26.2225,49.61
"Edo","ts_rabid_dogs",1960.5,1577.56009375,2241.90440625
"Edo","ts_vaccine_vials",1039.9,834.56,1230.15
"Ekiti","ts_deaths",200.3,175.265,233.77
"Ekiti","ts_rabid_dogs",6759.4075,6331.04259375,7872.38000000001
"Ekiti","ts_vaccine_vials",2790.7,2570.23,3275.315
"Enugu","ts_deaths",681.25,609.34,761.4775
"Enugu","ts_rabid_dogs",18177.8825,16473.43103125,19893.74840625
"Enugu","ts_vaccine_vials",5778.1,5177.8,6234.995
"Federal Capital Territory","ts_deaths",51.3,38.005,65.55
"Federal Capital Territory","ts_rabid_dogs",1565.29,1435.830875,1632.498125
"Federal Capital Territory","ts_vaccine_vials",537.2,468.165,600.19
"Gombe","ts_deaths",68.95,58.16,81.9225
"Gombe","ts_rabid_dogs",1861.8125,1776.25015625,1945.20278125
"Gombe","ts_vaccine_vials",574.2,508.35,630.2
"Imo","ts_deaths",649.75,594.4225,698.2975
"Imo","ts_rabid_dogs",21207.494375,20062.3516875,22337.230125
"Imo","ts_vaccine_vials",8483.5,7928.535,8985.57
"Jigawa","ts_deaths",112.9,94.58,128.8375
"Jigawa","ts_rabid_dogs",2924.05625,2809.41246875,3029.441625
"Jigawa","ts_vaccine_vials",880.7,805.75,958.775
"Kaduna","ts_deaths",221.7,199.1,242.1175
"Kaduna","ts_rabid_dogs",6337.68875,6073.38440625,6613.85684375
"Kaduna","ts_vaccine_vials",2148.4,2003.545,2296.47
"Kano","ts_deaths",233.85,208.0925,260.0075
"Kano","ts_rabid_dogs",6228.116875,5989.47221875,6514.5533125
"Kano","ts_vaccine_vials",1983.2,1859.175,2100.935
"Katsina","ts_deaths",149.8,131.205,168.1075
"Katsina","ts_rabid_dogs",3985.84375,3815.291625,4145.2371875
"Katsina","ts_vaccine_vials",1253.9,1158.495,1347.905
"Kebbi","ts_deaths",79.5,68.0625,92.8425
