"state","ts_deaths","ts_deaths_UL","ts_deaths_LL","ts_rabid_dogs","ts_rabid_dogs_UL","ts_rabid_dogs_LL","ts_vaccine_vials","ts_vaccine_vials_UL","ts_vaccine_vials_LL"
"Abia",497.45,535.125,456.3325,15791.586875,16580.85484375,14976.47471875,6141.3,6473.91,5780.28
"Adamawa",145.85,162.2475,125.42,3785.489375,3947.3490625,3602.2605625,1157,1260.575,1060.99
"Akwa Ibom",613.55,666.115,562.48,20692.82375,21640.7554375,19394.69471875,8531.8,8977.12,7997.825
"Anambra",211.55,238.885,182.3,9700.2725,11116.5891875,8905.78575,4957.8,5681.71,4507.085
"Bauchi",134.25,153.04,119.215,3592.96375,3733.2640625,3425.8181875,1108.7,1204.865,1019.005
"Bayelsa",117.6,139.9725,98.23,4267.91375,4855.84934375,3894.13840625,1891.8,2158.9,1702.36
"Benue",622.75,762.5525,545.55,19247.42125,24007.40040625,17585.72409375,7505.9,9327.96,6806.24
"Borno",116.15,129.6025,97.4175,3065.06625,3172.8705,2943.4403125,936.8,1012.07,856.14
"Cross River",471.1,552.5075,418.44,14086.235625,16479.28403125,12704.63615625,5147.7,6025.855,4589.24
"Delta",23.6,33.835,14.4875,1632.895625,2054.06903125,1268.969125,961.3,1207.545,753.285
"Ebonyi",438.15,514.555,377.8925,11320.899375,13251.29078125,9970.49425,3437.1,4086.04,3047.4
"Edo",37.1,49.61,26.2225,1960.5,2241.90440625,1577.56009375,1039.9,1230.15,834.56
"Ekiti",200.3,233.77,175.265,6759.4075,7872.38000000001,6331.04259375,2790.7,3275.315,2570.23
"Enugu",681.25,761.4775,609.34,18177.8825,19893.74840625,16473.43103125,5778.1,6234.995,5177.8
"Federal Capital Territory",51.3,65.55,38.005,1565.29,1632.498125,1435.830875,537.2,600.19,468.165
"Gombe",68.95,81.9225,58.16,1861.8125,1945.20278125,1776.25015625,574.2,630.2,508.35
"Imo",649.75,698.2975,594.4225,21207.494375,22337.230125,20062.3516875,8483.5,8985.57,7928.535
"Jigawa",112.9,128.8375,94.58,2924.05625,3029.441625,2809.41246875,880.7,958.775,805.75
"Kaduna",221.7,242.1175,199.1,6337.68875,6613.85684375,6073.38440625,2148.4,2296.47,2003.545
"Kano",233.85,260.0075,208.0925,6228.116875,6514.5533125,5989.47221875,1983.2,2100.935,1859.175
"Katsina",149.8,168.1075,131.205,3985.84375,4145.2371875,3815.291625,1253.9,1347.905,1158.495
"Kebbi",79.5,92.8425,68.0625,2240.334375,2335.7060625,2126.74690625,700,775.785,637.385
"Kogi",102.8,116.16,85.415,3364.86875,3505.68575,3145.3540625,1333.4,1438.91,1216.525
"Kwara",32.95,41.3375,23.92,1315.56625,1412.00015625,1223.43746875,595.8,686.175,522.57
"Lagos",7.1,12.6075,3.2275,572.85,716.30121875,474.615,342,428.615,263.12
"Nasarawa",70.55,83.51,59.0675,1950.585,2036.1205625,1855.944375,601.3,670.235,534.865
"Niger",147.05,167.44,131.1725,3897.973125,4068.22040625,3768.92871875,1214.3,1297.93,1101.175
"Ogun",9.05,15.2475,5.425,559.0625,679.99240625,439.547625,317.5,398.215,229.675
"Ondo",61.95,75.9775,47.09,3085.260625,3628.27525,2508.65021875,1618.5,1925.59,1327.33
"Osun",8.9,14.9475,4.3025,533.95,634.94203125,421.54584375,297,362.555,224.7
"Oyo",17.2,25.62,11.095,1012.58875,1195.123375,883.52840625,556.5,678.37,472.31
"Plateau",206.05,231.14,183.95,5508.48625,5864.43746874999,5287.0911875,1745.5,1885.31,1649.515
"Rivers",708.35,753.3675,651.035,25618.58125,26930.1609375,23745.31053125,11126.6,11650.43,10353.735
"Sokoto",95.5,112.205,81.2375,2504.701875,2582.43596875,2414.47896875,754.7,817.465,687.645
"Taraba",119.9,139.75,104.85,3175.464375,3286.427125,3055.18246875,955.1,1043.78,875.865
"Yobe",59.75,73.485,49.1025,1600.674375,1664.49325,1529.47703125,483.2,534.275,429.07
"Zamfara",81.7,99.1825,70.23,2187.25,2264.36190625,2097.23596875,658.1,721.43,588.935
