"state","ts_deaths_mean","ts_exp_PEP_mean","ts_rabid_dogs_mean","ts_deaths_LL","ts_exp_PEP_LL","ts_rabid_dogs_LL","ts_deaths_UL","ts_exp_PEP_UL","ts_rabid_dogs_UL"
"Abia",329.75,4758.45,17723.708125,294.1625,4511.145,16977.40246875,366.6275,4983.155,18339.31175
"Adamawa",112.9,763.8,3795.04,93.0225,691.8,3586.2133125,136.14,835.4675,3996.97825
"Akwa Ibom",424.45,6709.6,24297.77875,383.7625,6382.58,23234.318625,468.495,7002.1,25121.09834375
"Anambra",315.35,6565.2,22238.343125,262.8575,5684.7775,19363.9125,377.8775,7624.9325,25646.75828125
"Bauchi",98.2,793.7,3656.88375,79.765,728.6325,3479.61146875,117.3725,869.87,3827.818875
"Bayelsa",93.55,1618.7,5751.745,72.565,1446.5575,5245.75853125,114.84,1813.1325,6332.9211875
"Benue",425.9,6137.95,22746.491875,359.21,5339.9425,19860.5505,506.9525,7074.695,26126.23653125
"Cross River",310.8,4032.15,15452.05,252.3675,3441.2275,13355.516,374.3125,4718.6675,17999.37971875
"Delta",258.65,6737.2,21742.391875,212.74,5835.9275,18906.631625,309.755,7783.15,25007.50640625
"Ebonyi",355.55,2240.45,11420.290625,295.5475,1943.9475,10009.386,429.2825,2653.0075,13417.25915625
"Edo",106.6,2392.4,7980.721875,86.5275,2204.1325,7427.08996875,126.655,2627.9675,8667.36715625
"Ekiti",142.3,2245.05,8189.085,117.3925,2002.1075,7387.53665625,171.6125,2508.3725,8946.86746875
"Enugu",458.75,3930.55,17407.798125,385.01,3401.8325,15219.004875,549.3725,4604.25,20293.49415625
"Federal Capital Territory",34.35,417.25,1671.585,23.085,366.43,1578.19415625,46.2825,468.08,1756.18440625
"Gombe",50.15,404.05,1883.849375,37.665,359.0925,1791.55675,63.7725,454.3375,1964.38434375
"Imo",440.55,6670.55,24488.295,396.2125,6314.1225,23366.49790625,488.6125,6962.7125,25351.673875
"Jigawa",91.65,545.05,2912.201875,73.66,488.195,2753.09365625,112.815,605.465,3043.0594375
"Kaduna",146.8,1649.9,6667.45749999999,122.73,1535.4225,6387.2260625,172.775,1755.67,6902.31490624999
"Kano",160.4,1454,6369.37125,135.44,1346.98,6051.721875,186.46,1570.8175,6624.16815625
"Katsina",103.55,922.65,4078.969375,83.9175,845.0975,3889.26734375,124.1025,1007.9825,4271.34378125
"Kebbi",53.95,532.4,2321.54375,41.0225,478.095,2225.62871875,68.8725,590.5275,2406.6739375
"Kogi",68.85,1046.6,3859.24249999999,53.1225,968.3925,3661.39812499999,86.4025,1128.175,3990.51274999999
"Kwara",30.15,561.65,1982.5025,19.785,503.6225,1884.2003125,40.925,617.455,2060.120875
"Lagos",114.9,3090.6,10002.294375,95.165,2919.1525,9587.61025,134.4725,3255.9575,10345.6565625
"Nasarawa",49.4,431.55,1953.186875,36.2275,378.6825,1837.126375,63.2725,485.2225,2054.1594375
"Niger",106.95,809.25,3825.77,87.0925,734.2625,3610.18221875,128.33,889.275,4023.40821875
"Ogun",49.3,1202.45,3988.58125,37.1325,1107.885,3785.28434375,64.0675,1304.5875,4168.95246875
"Ondo",134.45,2940.6,9854.418125,110.37,2667.6025,9073.40034375,163.07,3280.2325,10880.30784375
"Osun",47.65,1164.2,3848.0875,35.0325,1066.1625,3648.712125,62.14,1261.2375,4026.8884375
"Oyo",75.6,1797.9,5941.73625,59.2275,1670.6225,5648.8489375,92.8825,1925.6225,6233.32715625
"Plateau",143.25,1297.1,5682.05375,120.2675,1187.2975,5342.794,169.45,1417.5325,6034.65784375
"Rivers",541.45,9127.1,32395.303125,492.0925,8691.9125,31090.636875,592.2975,9538.73,33549.60915625
"Sokoto",79.85,463.4,2502.8475,61.565,410.57,2386.3345625,98.34,516.6275,2608.767625
"Taraba",100.15,580.35,3115.23375,79.345,524.8725,2938.40140625,119.565,644.9475,3291.0725625
"Yobe",46.25,324.9,1617.149375,33.9225,282.82,1532.2308125,60.32,367.6575,1681.89196875
"Zamfara",63.95,438.6,2195.961875,49.47,390.1975,2084.85084375,80.23,495.45,2301.962875
