"state","mean_annual_incidence"
"Abia",10.9688556823171
"Adamawa",2.87855744108579
"Akwa Ibom",9.86527559661563
"Anambra",3.17698120557689
"Bauchi",1.81020307309782
"Bayelsa",4.32871272696755
"Benue",9.18554897427914
"Borno",1.74711072410106
"Cross River",10.2168882060762
"Delta",0.360051054018948
"Ebonyi",12.6277837180415
"Edo",0.719898399244786
"Ekiti",5.23854470455837
"Enugu",13.0797170595606
"Federal Capital Territory",2.28881345768774
"Gombe",1.82914438488487
"Imo",10.3794742163317
"Jigawa",1.62427603542562
"Kaduna",2.27524280288977
"Kano",1.56063814984462
"Katsina",1.62000903657911
"Kebbi",1.53166146543974
"Kogi",1.94619858949825
"Kwara",0.874000436602343
"Lagos",0.0488787793192645
"Nasarawa",2.36783980179285
"Niger",2.33289832434283
"Ogun",0.151369205549178
"Ondo",1.1230714035927
"Osun",0.163418974668957
"Oyo",0.193364560210857
"Plateau",4.03171051359746
"Rivers",8.54877757368471
"Sokoto",1.61822853962076
"Taraba",3.27813274933904
"Yobe",1.61492204183445
"Zamfara",1.56332639116914
