"state","output","LL","Median","UL","year","scenario","pop","HDR","pPEP","base_vax_cov_owned","incidence_100000"
"Abia","ts_deaths",455,482,507.55,1,"status quo",4535113,3,0.511256451575789,0.100970307518798,10.6281805988076
"Abia","ts_deaths",455.475,489,524.325,2,"status quo",4535113,3,0.511256451575789,0.100970307518798,10.7825317693297
"Abia","ts_deaths",438.425,482,566.6,3,"status quo",4535113,3,0.511256451575789,0.100970307518798,10.6281805988076
"Abia","ts_deaths",453.95,499.5,547.7,4,"status quo",4535113,3,0.511256451575789,0.100970307518798,11.0140585251128
"Abia","ts_deaths",464.175,507,530.325,5,"status quo",4535113,3,0.511256451575789,0.100970307518798,11.1794347792436
"Abia","ts_deaths",474.725,518.5,544.725,6,"status quo",4535113,3,0.511256451575789,0.100970307518798,11.4330117022442
"Abia","ts_deaths",452.35,509.5,540.55,7,"status quo",4535113,3,0.511256451575789,0.100970307518798,11.2345601972873
"Abia","ts_deaths",477.025,492.5,514,8,"status quo",4535113,3,0.511256451575789,0.100970307518798,10.8597073545907
"Abia","ts_deaths",436.15,497.5,547.7,9,"status quo",4535113,3,0.511256451575789,0.100970307518798,10.9699581906779
"Abia","ts_deaths",456.05,497,527.775,10,"status quo",4535113,3,0.511256451575789,0.100970307518798,10.9589331070692
"Adamawa","ts_deaths",123.45,147.5,169,1,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.91112254069355
"Adamawa","ts_deaths",113.375,142,160.2,2,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.80257220866768
"Adamawa","ts_deaths",127.35,141,155.65,3,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.78283578466298
"Adamawa","ts_deaths",121.9,148.5,157.55,4,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.93085896469825
"Adamawa","ts_deaths",130.7,141.5,158.75,5,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.79270399666533
"Adamawa","ts_deaths",121.225,140.5,173.925,6,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.77296757266063
"Adamawa","ts_deaths",128.35,143.5,161.325,7,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.83217684467474
"Adamawa","ts_deaths",130.675,151.5,167.325,8,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.99006823671235
"Adamawa","ts_deaths",123.15,153,160,9,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,3.01967287271941
"Adamawa","ts_deaths",134.025,149.5,158.75,10,"status quo",5066774,15.5,0.404015710554571,0.0170973902124281,2.95059538870295
"Akwa Ibom","ts_deaths",540.525,578,592.775,1,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.29366684841306
"Akwa Ibom","ts_deaths",536.475,602,666.025,2,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.67956304973125
"Akwa Ibom","ts_deaths",579.8,615,640.65,3,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.8885901587786
"Akwa Ibom","ts_deaths",566.125,616.5,676.025,4,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.91270867136099
"Akwa Ibom","ts_deaths",569.675,613,693.25,5,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.85643214200208
"Akwa Ibom","ts_deaths",560.275,610,698.85,6,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.80819511683731
"Akwa Ibom","ts_deaths",560.55,654,696.775,7,"status quo",6219289,3,0.543200371094254,0.122833564516116,10.5156714859207
"Akwa Ibom","ts_deaths",570.575,634.5,678.3,8,"status quo",6219289,3,0.543200371094254,0.122833564516116,10.2021308223496
"Akwa Ibom","ts_deaths",576.675,605.5,646.2,9,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.73583957909015
"Akwa Ibom","ts_deaths",564.125,607,672.3,10,"status quo",6219289,3,0.543200371094254,0.122833564516116,9.75995809167254
"Anambra","ts_deaths",177.9,185.5,198.625,1,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,2.78577174963135
"Anambra","ts_deaths",186.9,209,219,2,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.13868623004287
"Anambra","ts_deaths",172.05,205,222.975,3,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.07861568018559
"Anambra","ts_deaths",167.125,220,255.825,4,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.30388024215039
"Anambra","ts_deaths",180.025,217,263.525,5,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.25882732975743
"Anambra","ts_deaths",182.9,214.5,240.2,6,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.22128323609663
"Anambra","ts_deaths",194.45,206.5,236.375,7,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.10114213638207
"Anambra","ts_deaths",188.825,218,256.075,8,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.27384496722175
"Anambra","ts_deaths",176.15,219,258.7,9,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.28886260468607
"Anambra","ts_deaths",196.675,221,237.55,10,"status quo",6658837,3.25,0.670099601612513,0.21693959492196,3.31889787961471
"Bauchi","ts_deaths",118.225,128.5,144.1,1,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.73267109789996
"Bauchi","ts_deaths",111.9,128.5,139.425,2,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.73267109789996
"Bauchi","ts_deaths",119.45,142.5,162.3,3,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.92144460272953
"Bauchi","ts_deaths",122.575,133,151.775,4,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.79334829588089
"Bauchi","ts_deaths",115.6,136.5,157.325,5,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.84054167208829
"Bauchi","ts_deaths",127.9,135,153.875,6,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.82031593942798
"Bauchi","ts_deaths",124.025,141,153.55,7,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.90121887006922
"Bauchi","ts_deaths",118.575,130,159.325,8,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.75289683056027
"Bauchi","ts_deaths",109.225,130.5,147.1,9,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.75963874144704
"Bauchi","ts_deaths",124.675,137,161.625,10,"status quo",7416295,23.75,0.411223905972613,0.0253527212758327,1.84728358297506
"Bayelsa","ts_deaths",97.225,107,128.775,1,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,3.9385396410334
"Bayelsa","ts_deaths",94.45,113,132.425,2,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.1593923311848
"Bayelsa","ts_deaths",88.05,118,139.55,3,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.34343623964431
"Bayelsa","ts_deaths",94,113.5,138.55,4,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.17779672203076
"Bayelsa","ts_deaths",100.125,114.5,147.325,5,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.21460550372266
"Bayelsa","ts_deaths",106.225,123.5,133.875,6,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.54588453894976
"Bayelsa","ts_deaths",91.375,121.5,150.725,7,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.47226697556596
"Bayelsa","ts_deaths",98.725,121,142.875,8,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.45386258472001
"Bayelsa","ts_deaths",104,121.5,151.075,9,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.47226697556596
"Bayelsa","ts_deaths",108.125,122.5,134.55,10,"status quo",2716743,5.5,0.580920870398477,0.149138096489346,4.50907575725786
"Benue","ts_deaths",517.45,563,739.975,1,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,8.30423777200988
"Benue","ts_deaths",531.225,637.5,753.8,2,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.40311115391883
"Benue","ts_deaths",530.6,615,763.975,3,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.07123664260404
"Benue","ts_deaths",561.45,642,744.85,4,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.46948605618178
"Benue","ts_deaths",550.675,649,784.375,5,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.57273590414638
"Benue","ts_deaths",560.95,630,797.25,6,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.2924863168139
"Benue","ts_deaths",554.375,632.5,790.275,7,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.32936126251554
"Benue","ts_deaths",564.45,632,765.625,8,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.32198627337521
"Benue","ts_deaths",534.6,613.5,717.775,9,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.04911167518306
"Benue","ts_deaths",549.725,613,767.625,10,"status quo",6779671,3.75,0.511256451575789,0.100970307518798,9.04173668604273
"Borno","ts_deaths",100,114.5,122.775,1,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.72229167378021
"Borno","ts_deaths",101.225,115,125.325,2,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.72981259811986
"Borno","ts_deaths",96.025,115,134.775,3,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.72981259811986
"Borno","ts_deaths",100.125,117.5,138.775,4,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.76741721981812
"Borno","ts_deaths",90.35,114,127.325,5,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.71477074944056
"Borno","ts_deaths",101.825,128.5,137.325,6,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.93287755529045
"Borno","ts_deaths",92.475,111,130.775,7,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.66964520340265
"Borno","ts_deaths",91.025,118,130.65,8,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.77493814415777
"Borno","ts_deaths",95.675,114.5,129.3,9,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.72229167378021
"Borno","ts_deaths",105.45,113.5,119,10,"status quo",6648119,25,0.405971081120143,0.0195565053858434,1.7072498251009
"Cross River","ts_deaths",384.475,446.5,532.875,1,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,9.68338056466362
"Cross River","ts_deaths",400.15,467,558.7,2,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,10.1279702658408
"Cross River","ts_deaths",425.4,481,577.2,3,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,10.431592500791
"Cross River","ts_deaths",414.675,455.5,541.975,4,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,9.87856628713164
"Cross River","ts_deaths",437.125,459,531.55,5,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,9.95447184586921
"Cross River","ts_deaths",413.65,472.5,566.8,6,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,10.2472504295712
"Cross River","ts_deaths",439.575,488.5,569,7,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,10.5942472695144
"Cross River","ts_deaths",433.675,473.5,563.2,8,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,10.2689377320677
"Cross River","ts_deaths",408.875,487,543.95,9,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,10.5617163157697
"Cross River","ts_deaths",426.8,480.5,539.825,10,"status quo",4610993,3.75,0.479433324125239,0.0790366383602408,10.4207488495428
"Delta","ts_deaths",14.225,26.5,36.775,1,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.404294615741615
"Delta","ts_deaths",17.45,28,35.55,2,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.42717921663265
"Delta","ts_deaths",17.125,26,35.65,3,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.396666415444604
"Delta","ts_deaths",15.45,20,32.2,4,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.305128011880464
"Delta","ts_deaths",18,23,28.325,5,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.350897213662534
"Delta","ts_deaths",5.575,21,32.325,6,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.320384412474488
"Delta","ts_deaths",13.575,23,36.1,7,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.350897213662534
"Delta","ts_deaths",14.125,22.5,31.775,8,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.343269013365522
"Delta","ts_deaths",14.45,20.5,31.775,9,"status quo",6554626,3.25,0.776288659787917,0.318880584427584,0.312756212177476
