"state","mean_annual_incidence"
"Abia",7.27104263995186
"Adamawa",2.22824227013086
"Akwa Ibom",6.82473511039606
"Anambra",4.7358119743733
"Bauchi",1.32411129816168
"Bayelsa",3.44346152727733
"Benue",6.28201574973181
"Cross River",6.74041361589575
"Delta",3.9460680136441
"Ebonyi",10.2471950267024
"Edo",2.06849513098367
"Ekiti",3.72164209415205
"Enugu",8.80780946946556
"Federal Capital Territory",1.53256807546927
"Gombe",1.33040740974585
"Imo",7.03759502270864
"Jigawa",1.31855534673833
"Kaduna",1.50656582527839
"Kano",1.07045695631848
"Katsina",1.11983935739497
"Kebbi",1.03941051648395
"Kogi",1.30346082574859
"Kwara",0.799730293279533
"Lagos",0.791010104758239
"Nasarawa",1.65799129990881
"Niger",1.6967254388879
"Ogun",0.824585837964032
"Ondo",2.43740032627989
"Osun",0.874934173368069
"Oyo",0.84990469488028
"Plateau",2.80292419836368
"Rivers",6.53453182363462
"Sokoto",1.3530423967405
"Taraba",2.73815675434783
"Yobe",1.25004425832374
"Zamfara",1.22368081658833
