"state","output","mean","LL","UL"
"Abia","ts_deaths",97.65,79.56,119.23
"Abia","ts_exp_PEP",618.3,544.0325,692.3725
"Abia","ts_rabid_dogs",3161.345,2900.02934375,3421.181625
"Adamawa","ts_deaths",109.95,89.9075,131.66
"Adamawa","ts_exp_PEP",691.55,618.1275,779.3025
"Adamawa","ts_rabid_dogs",3552.935625,3270.170375,3847.8498125
"Akwa Ibom","ts_deaths",134.95,111.4125,162.2275
"Akwa Ibom","ts_exp_PEP",850.75,756.315,946.8175
"Akwa Ibom","ts_rabid_dogs",4343.925625,3996.83065625,4723.80140625
"Anambra","ts_deaths",144.15,119.7175,170.35
"Anambra","ts_exp_PEP",905.95,812.7975,1008.9475
"Anambra","ts_rabid_dogs",4648.05875,4277.59025,5017.75653125
"Bauchi","ts_deaths",161.5,134.05,191.0275
"Bauchi","ts_exp_PEP",1019.55,910.7575,1126.12
"Bauchi","ts_rabid_dogs",5217.9325,4777.79784375,5600.66096875
"Bayelsa","ts_deaths",57.75,42.275,73.835
"Bayelsa","ts_exp_PEP",363.45,315.71,415.4
"Bayelsa","ts_rabid_dogs",1877.553125,1733.08546875,2027.6875625
"Benue","ts_deaths",145.85,121.0825,174.055
"Benue","ts_exp_PEP",923.45,830.7675,1021.4975
"Benue","ts_rabid_dogs",4727.5575,4357.80209375,5093.4675
"Borno","ts_deaths",143.05,118.5875,170.235
"Borno","ts_exp_PEP",904.7,811.48,1004.1975
"Borno","ts_rabid_dogs",4632.23125,4294.0576875,5007.498625
"Cross River","ts_deaths",99.35,78.5175,120.7025
"Cross River","ts_exp_PEP",625.85,551.9375,691.5225
"Cross River","ts_rabid_dogs",3222.735625,2936.37096875,3446.67915625
"Delta","ts_deaths",142.6,117.18,168.725
"Delta","ts_exp_PEP",900.5,792.2675,995.3375
"Delta","ts_rabid_dogs",4596.09625,4201.2621875,4955.42540625
"Ebonyi","ts_deaths",73.6,57.4275,93.0025
"Ebonyi","ts_exp_PEP",467.05,404.7625,529.24
"Ebonyi","ts_rabid_dogs",2401.324375,2198.39871875,2593.2885625
"Edo","ts_deaths",111.15,92.06,133.7825
"Edo","ts_exp_PEP",701.9,628.2125,782.6775
"Edo","ts_rabid_dogs",3606.094375,3318.2314375,3879.10321875
"Ekiti","ts_deaths",80.95,62.47,100.43
"Ekiti","ts_exp_PEP",514.95,447.8725,581.6175
"Ekiti","ts_rabid_dogs",2641.21625,2422.91415625,2867.77265625
"Enugu","ts_deaths",111.75,92.1175,135.2625
"Enugu","ts_exp_PEP",705.85,629.6825,799.81
"Enugu","ts_rabid_dogs",3637.06875,3328.6180625,3954.8554375
"Federal Capital Territory","ts_deaths",46.35,33.5325,60.4775
"Federal Capital Territory","ts_exp_PEP",293.45,250.1525,340.695
"Federal Capital Territory","ts_rabid_dogs",1529.5575,1414.64025,1671.09928125
"Gombe","ts_deaths",80.5,62.46,101.2075
"Gombe","ts_exp_PEP",509.3,452.5575,568.0125
"Gombe","ts_rabid_dogs",2622.119375,2402.96459375,2824.0883125
"Imo","ts_deaths",134.8,111.0175,160.7875
"Imo","ts_exp_PEP",850.2,759.38,941.67
"Imo","ts_rabid_dogs",4363.288125,4012.44825,4712.89484375
"Jigawa","ts_deaths",150.25,125.62,177.745
"Jigawa","ts_exp_PEP",950.45,846.9125,1041.9775
"Jigawa","ts_rabid_dogs",4874.458125,4470.736,5233.85296875
"Kaduna","ts_deaths",213.15,180.05,244.8075
"Kaduna","ts_exp_PEP",1338.55,1209.7925,1477.9225
"Kaduna","ts_rabid_dogs",6845.72625,6306.77240625,7453.53040625
"Kano","ts_deaths",326.45,281.8975,373.285
"Kano","ts_exp_PEP",2053.9,1869.0525,2255.5175
"Kano","ts_rabid_dogs",10507.776875,9669.5059375,11381.82578125
"Katsina","ts_deaths",200.7,169.9875,232.855
"Katsina","ts_exp_PEP",1270.7,1143.795,1399.0925
"Katsina","ts_rabid_dogs",6488.90875,5964.49228125,6993.113
"Kebbi","ts_deaths",111.55,90.2975,133.645
"Kebbi","ts_exp_PEP",709.25,629.5975,781.2375
"Kebbi","ts_rabid_dogs",3634.251875,3332.56621875,3894.1375
"Kogi","ts_deaths",114.25,92.6175,139.17
"Kogi","ts_exp_PEP",720,640.815,798.765
"Kogi","ts_rabid_dogs",3685.521875,3385.22809375,3991.14659375
"Kwara","ts_deaths",80.95,63.5175,99.935
