"state","output","LL","Median","UL","year","scenario"
"Abia","ts_deaths",74.475,92,107.525,1,"status quo"
"Abia","ts_deaths",81.475,97,118,2,"status quo"
"Abia","ts_deaths",77.475,98.5,121.15,3,"status quo"
"Abia","ts_deaths",80.475,99,116,4,"status quo"
"Abia","ts_deaths",81.95,99,124.05,5,"status quo"
"Abia","ts_deaths",82.95,99,121.525,6,"status quo"
"Abia","ts_deaths",78,98,120,7,"status quo"
"Abia","ts_deaths",80,99,123,8,"status quo"
"Abia","ts_deaths",77.85,97,121.525,9,"status quo"
"Abia","ts_deaths",80.95,98,119.525,10,"status quo"
"Abia","ts_exposures",970.925,1122,1234.1,1,"status quo"
"Abia","ts_exposures",1069.475,1196,1295.4,2,"status quo"
"Abia","ts_exposures",1069.425,1186,1348.575,3,"status quo"
"Abia","ts_exposures",1071.275,1199.5,1323.625,4,"status quo"
"Abia","ts_exposures",1078.175,1195.5,1352.675,5,"status quo"
"Abia","ts_exposures",1095,1214,1323.1,6,"status quo"
"Abia","ts_exposures",1065.85,1198.5,1322.675,7,"status quo"
"Abia","ts_exposures",1085.9,1219,1353.725,8,"status quo"
"Abia","ts_exposures",1077.225,1204,1327.725,9,"status quo"
"Abia","ts_exposures",1073.475,1198.5,1329.95,10,"status quo"
"Abia","ts_exp_PEP",500.425,578,665.575,1,"status quo"
"Abia","ts_exp_PEP",550.975,619,676,2,"status quo"
"Abia","ts_exp_PEP",552.475,617,706.075,3,"status quo"
"Abia","ts_exp_PEP",541.475,620.5,695.2,4,"status quo"
"Abia","ts_exp_PEP",550.425,621,709,5,"status quo"
"Abia","ts_exp_PEP",556.475,628.5,707.05,6,"status quo"
"Abia","ts_exp_PEP",551.475,623.5,694.05,7,"status quo"
"Abia","ts_exp_PEP",556.95,622.5,696.525,8,"status quo"
"Abia","ts_exp_PEP",548.8,627,686.725,9,"status quo"
"Abia","ts_exp_PEP",530.85,626,687.525,10,"status quo"
"Abia","ts_vaccine_vials",1000.85,1156,1331.15,1,"status quo"
"Abia","ts_vaccine_vials",1101.95,1238,1352,2,"status quo"
"Abia","ts_vaccine_vials",1104.95,1234,1412.15,3,"status quo"
