"state","output","LL","Median","UL","year","scenario"
"Abia","ts_deaths",300,329,360.525,1,"status quo"
"Abia","ts_deaths",294,327,360.725,2,"status quo"
"Abia","ts_deaths",294.475,325.5,359,3,"status quo"
"Abia","ts_deaths",294.75,333,372.675,4,"status quo"
"Abia","ts_deaths",284.85,331.5,368.05,5,"status quo"
"Abia","ts_deaths",299.425,332,364.625,6,"status quo"
"Abia","ts_deaths",294.9,330,365.05,7,"status quo"
"Abia","ts_deaths",296.325,332,375.525,8,"status quo"
"Abia","ts_deaths",297.425,328.5,376,9,"status quo"
"Abia","ts_deaths",285.475,329,364.1,10,"status quo"
"Abia","ts_exposures",6267.9,6656,6931.175,1,"status quo"
"Abia","ts_exposures",6396.025,6716,7010.4,2,"status quo"
"Abia","ts_exposures",6295.95,6715.5,6996.575,3,"status quo"
"Abia","ts_exposures",6343.475,6690,6979.625,4,"status quo"
"Abia","ts_exposures",6396.95,6714.5,7055.675,5,"status quo"
"Abia","ts_exposures",6442.95,6717,6961.3,6,"status quo"
"Abia","ts_exposures",6396.85,6710.5,7024.15,7,"status quo"
"Abia","ts_exposures",6381.55,6725,7009.875,8,"status quo"
"Abia","ts_exposures",6337.35,6651,6945.625,9,"status quo"
"Abia","ts_exposures",6312.175,6699.5,6966.675,10,"status quo"
"Abia","ts_exp_PEP",4472.85,4719,4939.3,1,"status quo"
"Abia","ts_exp_PEP",4549.35,4771,4999.1,2,"status quo"
"Abia","ts_exp_PEP",4481.45,4787,4993.625,3,"status quo"
"Abia","ts_exp_PEP",4468.55,4766.5,4974.025,4,"status quo"
"Abia","ts_exp_PEP",4525.575,4764,5043.725,5,"status quo"
"Abia","ts_exp_PEP",4529.325,4760.5,4967.825,6,"status quo"
"Abia","ts_exp_PEP",4578.15,4766.5,4984.35,7,"status quo"
"Abia","ts_exp_PEP",4524.85,4760.5,4998.4,8,"status quo"
"Abia","ts_exp_PEP",4487.85,4732.5,4959.525,9,"status quo"
"Abia","ts_exp_PEP",4493.5,4757,4971.675,10,"status quo"
"Abia","ts_vaccine_vials",8945.7,9438,9878.6,1,"status quo"
"Abia","ts_vaccine_vials",9098.7,9542,9998.2,2,"status quo"
"Abia","ts_vaccine_vials",8962.9,9574,9987.25,3,"status quo"
"Abia","ts_vaccine_vials",8937.1,9533,9948.05,4,"status quo"
"Abia","ts_vaccine_vials",9051.15,9528,10087.45,5,"status quo"
"Abia","ts_vaccine_vials",9058.65,9521,9935.65,6,"status quo"
"Abia","ts_vaccine_vials",9156.3,9533,9968.7,7,"status quo"
"Abia","ts_vaccine_vials",9049.7,9521,9996.8,8,"status quo"
"Abia","ts_vaccine_vials",8975.7,9465,9919.05,9,"status quo"
"Abia","ts_vaccine_vials",8987,9514,9943.35,10,"status quo"
"Abia","ts_rabid_dogs",16692.63375,17598.76875,18235.3915625,1,"status quo"
"Abia","ts_rabid_dogs",17093.8559375,17823.2125,18332.635625,2,"status quo"
"Abia","ts_rabid_dogs",16936.4221875,17740.78125,18324.126875,3,"status quo"
"Abia","ts_rabid_dogs",17097.8671875,17739.725,18387.8321875,4,"status quo"
"Abia","ts_rabid_dogs",17013.71375,17751.20625,18437.4803125,5,"status quo"
"Abia","ts_rabid_dogs",17044.28625,17729.76875,18346.6440625,6,"status quo"
"Abia","ts_rabid_dogs",17093.32375,17737.7125,18320.3534375,7,"status quo"
"Abia","ts_rabid_dogs",16895.92875,17745.81875,18320.45,8,"status quo"
"Abia","ts_rabid_dogs",16965.6965625,17654.8625,18331.15,9,"status quo"
"Abia","ts_rabid_dogs",16940.2965625,17715.225,18357.0534375,10,"status quo"
"Adamawa","ts_deaths",92.475,111,132.05,1,"status quo"
"Adamawa","ts_deaths",94.425,117,137.05,2,"status quo"
"Adamawa","ts_deaths",91.475,112,135,3,"status quo"
"Adamawa","ts_deaths",94,114,139,4,"status quo"
"Adamawa","ts_deaths",95,111.5,137.525,5,"status quo"
"Adamawa","ts_deaths",94.95,113,135,6,"status quo"
"Adamawa","ts_deaths",94.95,114,138.525,7,"status quo"
"Adamawa","ts_deaths",92,112.5,136.575,8,"status quo"
"Adamawa","ts_deaths",89.475,111,132.625,9,"status quo"
"Adamawa","ts_deaths",91.475,113,138.05,10,"status quo"
"Adamawa","ts_exposures",1288,1411.5,1541.675,1,"status quo"
"Adamawa","ts_exposures",1321.975,1440.5,1544.1,2,"status quo"
"Adamawa","ts_exposures",1303.325,1429,1536.2,3,"status quo"
"Adamawa","ts_exposures",1328.85,1439.5,1550.575,4,"status quo"
"Adamawa","ts_exposures",1299.85,1438,1559.25,5,"status quo"
"Adamawa","ts_exposures",1321.95,1427.5,1539.1,6,"status quo"
"Adamawa","ts_exposures",1309.425,1435.5,1542,7,"status quo"
"Adamawa","ts_exposures",1305.9,1423,1541.45,8,"status quo"
"Adamawa","ts_exposures",1302.325,1422,1544.1,9,"status quo"
"Adamawa","ts_exposures",1312.425,1433.5,1568.725,10,"status quo"
"Adamawa","ts_exp_PEP",695.9,754.5,834.575,1,"status quo"
"Adamawa","ts_exp_PEP",703.375,770.5,829.1,2,"status quo"
"Adamawa","ts_exp_PEP",687.325,760,827.05,3,"status quo"
"Adamawa","ts_exp_PEP",706.9,768,835.25,4,"status quo"
"Adamawa","ts_exp_PEP",689.425,770,836.05,5,"status quo"
"Adamawa","ts_exp_PEP",690.475,762.5,826.575,6,"status quo"
"Adamawa","ts_exp_PEP",681.9,770,837.625,7,"status quo"
"Adamawa","ts_exp_PEP",691.475,763,850.15,8,"status quo"
"Adamawa","ts_exp_PEP",681.375,753,844.625,9,"status quo"
"Adamawa","ts_exp_PEP",689.85,766.5,833.675,10,"status quo"
"Adamawa","ts_vaccine_vials",1391.8,1509,1669.15,1,"status quo"
"Adamawa","ts_vaccine_vials",1406.75,1541,1658.2,2,"status quo"
"Adamawa","ts_vaccine_vials",1374.65,1520,1654.1,3,"status quo"
"Adamawa","ts_vaccine_vials",1413.8,1536,1670.5,4,"status quo"
"Adamawa","ts_vaccine_vials",1378.85,1540,1672.1,5,"status quo"
"Adamawa","ts_vaccine_vials",1380.95,1525,1653.15,6,"status quo"
"Adamawa","ts_vaccine_vials",1363.8,1540,1675.25,7,"status quo"
"Adamawa","ts_vaccine_vials",1382.95,1526,1700.3,8,"status quo"
"Adamawa","ts_vaccine_vials",1362.75,1506,1689.25,9,"status quo"
"Adamawa","ts_vaccine_vials",1379.7,1533,1667.35,10,"status quo"
"Adamawa","ts_rabid_dogs",3554.47375,3762.15625,3931.133125,1,"status quo"
"Adamawa","ts_rabid_dogs",3632.6425,3794.64375,3975.815625,2,"status quo"
"Adamawa","ts_rabid_dogs",3577.3996875,3801.34375,4005.431875,3,"status quo"
"Adamawa","ts_rabid_dogs",3592.4040625,3804.76874999999,3997.5540625,4,"status quo"
"Adamawa","ts_rabid_dogs",3593.87125,3800.44375,3996.18718749999,5,"status quo"
"Adamawa","ts_rabid_dogs",3616.1178125,3782.25,4026.2015625,6,"status quo"
"Adamawa","ts_rabid_dogs",3598.55625,3815.91875,4027.275,7,"status quo"
"Adamawa","ts_rabid_dogs",3583.10625,3801.18125,4006.9721875,8,"status quo"
"Adamawa","ts_rabid_dogs",3559.05875,3790.5125,3989.69812499999,9,"status quo"
"Adamawa","ts_rabid_dogs",3554.5028125,3797.18125,4013.51375,10,"status quo"
"Akwa Ibom","ts_deaths",379.475,422.5,460.525,1,"status quo"
"Akwa Ibom","ts_deaths",389.325,427.5,466.625,2,"status quo"
"Akwa Ibom","ts_deaths",386.85,424,475.2,3,"status quo"
"Akwa Ibom","ts_deaths",390.9,423.5,462.525,4,"status quo"
"Akwa Ibom","ts_deaths",376.75,426,472.525,5,"status quo"
"Akwa Ibom","ts_deaths",374.475,427,469.525,6,"status quo"
"Akwa Ibom","ts_deaths",390.475,418.5,475.15,7,"status quo"
"Akwa Ibom","ts_deaths",377.95,421,470.2,8,"status quo"
"Akwa Ibom","ts_deaths",381,426,464.15,9,"status quo"
"Akwa Ibom","ts_deaths",390.425,428.5,468.525,10,"status quo"
"Akwa Ibom","ts_exposures",8796.95,9129,9478.4,1,"status quo"
"Akwa Ibom","ts_exposures",8749.875,9241.5,9579.625,2,"status quo"
"Akwa Ibom","ts_exposures",8880.225,9154.5,9574.675,3,"status quo"
"Akwa Ibom","ts_exposures",8874.75,9238.5,9657.75,4,"status quo"
"Akwa Ibom","ts_exposures",8875.85,9255,9630.075,5,"status quo"
"Akwa Ibom","ts_exposures",8722.325,9214.5,9582.375,6,"status quo"
"Akwa Ibom","ts_exposures",8759.7,9179,9600.225,7,"status quo"
"Akwa Ibom","ts_exposures",8714.8,9200.5,9599.55,8,"status quo"
"Akwa Ibom","ts_exposures",8714.4,9243,9600.25,9,"status quo"
"Akwa Ibom","ts_exposures",8855.475,9250.5,9632.3,10,"status quo"
"Akwa Ibom","ts_exp_PEP",6385.7,6659.5,6943.1,1,"status quo"
"Akwa Ibom","ts_exp_PEP",6347.7,6729.5,7001,2,"status quo"
"Akwa Ibom","ts_exp_PEP",6440.5,6657.5,6976.625,3,"status quo"
"Akwa Ibom","ts_exp_PEP",6417.025,6711,7079.225,4,"status quo"
"Akwa Ibom","ts_exp_PEP",6414.65,6745,7052.25,5,"status quo"
"Akwa Ibom","ts_exp_PEP",6333.55,6710.5,7001.05,6,"status quo"
"Akwa Ibom","ts_exp_PEP",6365.425,6694,7008.925,7,"status quo"
"Akwa Ibom","ts_exp_PEP",6347.075,6715.5,6959.325,8,"status quo"
"Akwa Ibom","ts_exp_PEP",6340.95,6723,7003.35,9,"status quo"
"Akwa Ibom","ts_exp_PEP",6433.225,6750.5,6996.15,10,"status quo"
"Akwa Ibom","ts_vaccine_vials",12771.4,13319,13886.2,1,"status quo"
"Akwa Ibom","ts_vaccine_vials",12695.4,13459,14002,2,"status quo"
"Akwa Ibom","ts_vaccine_vials",12881,13315,13953.25,3,"status quo"
"Akwa Ibom","ts_vaccine_vials",12834.05,13422,14158.45,4,"status quo"
"Akwa Ibom","ts_vaccine_vials",12829.3,13490,14104.5,5,"status quo"
"Akwa Ibom","ts_vaccine_vials",12667.1,13421,14002.1,6,"status quo"
"Akwa Ibom","ts_vaccine_vials",12730.85,13388,14017.85,7,"status quo"
"Akwa Ibom","ts_vaccine_vials",12694.15,13431,13918.65,8,"status quo"
"Akwa Ibom","ts_vaccine_vials",12681.9,13446,14006.7,9,"status quo"
"Akwa Ibom","ts_vaccine_vials",12866.45,13501,13992.3,10,"status quo"
"Akwa Ibom","ts_rabid_dogs",23220.0303125,24115.375,24999.3728125,1,"status quo"
"Akwa Ibom","ts_rabid_dogs",23259.0640625,24365.2875,25057.8615625,2,"status quo"
"Akwa Ibom","ts_rabid_dogs",23367.5503125,24251.61875,25194.9378125,3,"status quo"
"Akwa Ibom","ts_rabid_dogs",23390.86125,24317.3625,25216.8096875,4,"status quo"
"Akwa Ibom","ts_rabid_dogs",23371.591875,24393.625,25190.669375,5,"status quo"
"Akwa Ibom","ts_rabid_dogs",23089.653125,24329.61875,25079.230625,6,"status quo"
"Akwa Ibom","ts_rabid_dogs",23147.245,24258.34375,25255.3003125,7,"status quo"
"Akwa Ibom","ts_rabid_dogs",23024.003125,24253.9375,25072.6153125,8,"status quo"
"Akwa Ibom","ts_rabid_dogs",23127.259375,24297.7875,25017.7403125,9,"status quo"
