"state","output","LL","Median","UL","year","scenario"
"Abia","ts_deaths",227.975,271.5,321,1,"status quo"
"Abia","ts_deaths",242,292,343.025,2,"status quo"
"Abia","ts_deaths",256,302,353,3,"status quo"
"Abia","ts_deaths",259,307,359,4,"status quo"
"Abia","ts_deaths",260,308,362,5,"status quo"
"Abia","ts_deaths",262.975,312,363,6,"status quo"
"Abia","ts_deaths",265,314,362,7,"status quo"
"Abia","ts_deaths",259,310,365,8,"status quo"
"Abia","ts_deaths",264,312,361.025,9,"status quo"
"Abia","ts_deaths",264.975,312,363,10,"status quo"
"Abia","ts_exposures",3283.575,3800.5,4287.125,1,"status quo"
"Abia","ts_exposures",3551.85,4083,4601.075,2,"status quo"
"Abia","ts_exposures",3694.9,4216,4757.3,3,"status quo"
"Abia","ts_exposures",3739.775,4288.5,4813.025,4,"status quo"
"Abia","ts_exposures",3810.875,4311,4882.025,5,"status quo"
"Abia","ts_exposures",3860.875,4347,4874.025,6,"status quo"
"Abia","ts_exposures",3840.975,4345.5,4895,7,"status quo"
"Abia","ts_exposures",3841.975,4351,4899.025,8,"status quo"
"Abia","ts_exposures",3836.6,4362,4871.025,9,"status quo"
"Abia","ts_exposures",3858.825,4368,4895.025,10,"status quo"
"Abia","ts_exp_PEP",1896.95,2198,2495.075,1,"status quo"
"Abia","ts_exp_PEP",2056.8,2357.5,2664.025,2,"status quo"
"Abia","ts_exp_PEP",2121.95,2438,2760.025,3,"status quo"
"Abia","ts_exp_PEP",2155.925,2479.5,2777.15,4,"status quo"
"Abia","ts_exp_PEP",2207.975,2495,2827.025,5,"status quo"
"Abia","ts_exp_PEP",2229.975,2516.5,2826.1,6,"status quo"
"Abia","ts_exp_PEP",2221.95,2510,2845,7,"status quo"
"Abia","ts_exp_PEP",2214,2514,2852.025,8,"status quo"
"Abia","ts_exp_PEP",2198.925,2522.5,2832,9,"status quo"
"Abia","ts_exp_PEP",2227.825,2532,2844.075,10,"status quo"
"Abia","ts_vaccine_vials",3793.9,4396,4990.15,1,"status quo"
"Abia","ts_vaccine_vials",4113.6,4715,5328.05,2,"status quo"
"Abia","ts_vaccine_vials",4243.9,4876,5520.05,3,"status quo"
"Abia","ts_vaccine_vials",4311.85,4959,5554.3,4,"status quo"
"Abia","ts_vaccine_vials",4415.95,4990,5654.05,5,"status quo"
"Abia","ts_vaccine_vials",4459.95,5033,5652.2,6,"status quo"
"Abia","ts_vaccine_vials",4443.9,5020,5690,7,"status quo"
"Abia","ts_vaccine_vials",4428,5028,5704.05,8,"status quo"
"Abia","ts_vaccine_vials",4397.85,5045,5664,9,"status quo"
"Abia","ts_vaccine_vials",4455.65,5064,5688.15,10,"status quo"
"Abia","ts_rabid_dogs",8727.164375,10016.65,11214.048125,1,"status quo"
"Abia","ts_rabid_dogs",9391.915,10788.89375,12130.6503125,2,"status quo"
"Abia","ts_rabid_dogs",9790.1978125,11107.8125,12441.99125,3,"status quo"
"Abia","ts_rabid_dogs",9901.0075,11327.95,12616.7921875,4,"status quo"
"Abia","ts_rabid_dogs",10092.0071875,11399.25,12764.5975,5,"status quo"
"Abia","ts_rabid_dogs",10206.7453125,11459.76875,12771.4109375,6,"status quo"
"Abia","ts_rabid_dogs",10196.8115625,11480.74375,12862.036875,7,"status quo"
"Abia","ts_rabid_dogs",10186.4228125,11516.28125,12820.803125,8,"status quo"
"Abia","ts_rabid_dogs",10162.713125,11518.70625,12861.813125,9,"status quo"
"Abia","ts_rabid_dogs",10239.428125,11515.175,12884.379375,10,"status quo"
"Adamawa","ts_deaths",106,131,159,1,"status quo"
"Adamawa","ts_deaths",110,133.5,159,2,"status quo"
"Adamawa","ts_deaths",109,136,163,3,"status quo"
"Adamawa","ts_deaths",111,134,162,4,"status quo"
"Adamawa","ts_deaths",112,134,162,5,"status quo"
"Adamawa","ts_deaths",111,135,162,6,"status quo"
"Adamawa","ts_deaths",109,135,159,7,"status quo"
"Adamawa","ts_deaths",110,136,160,8,"status quo"
"Adamawa","ts_deaths",110,135,160.025,9,"status quo"
"Adamawa","ts_deaths",111.975,134,159,10,"status quo"
"Adamawa","ts_exposures",1205,1328,1456.025,1,"status quo"
"Adamawa","ts_exposures",1233,1356,1485,2,"status quo"
"Adamawa","ts_exposures",1242,1366,1496.025,3,"status quo"
"Adamawa","ts_exposures",1238,1364,1493.075,4,"status quo"
"Adamawa","ts_exposures",1237.925,1358,1488.025,5,"status quo"
"Adamawa","ts_exposures",1239.975,1364,1495.025,6,"status quo"
"Adamawa","ts_exposures",1223.95,1361,1490.05,7,"status quo"
"Adamawa","ts_exposures",1232.925,1365,1490.025,8,"status quo"
"Adamawa","ts_exposures",1232.95,1364,1501.05,9,"status quo"
"Adamawa","ts_exposures",1228.975,1366,1503.025,10,"status quo"
"Adamawa","ts_exp_PEP",493,556,618,1,"status quo"
"Adamawa","ts_exp_PEP",503.975,567,632.025,2,"status quo"
"Adamawa","ts_exp_PEP",505,568,631.025,3,"status quo"
"Adamawa","ts_exp_PEP",508,569,638,4,"status quo"
"Adamawa","ts_exp_PEP",505,568,631.05,5,"status quo"
"Adamawa","ts_exp_PEP",503,570,637,6,"status quo"
"Adamawa","ts_exp_PEP",500,568,631,7,"status quo"
"Adamawa","ts_exp_PEP",503,571,633.05,8,"status quo"
"Adamawa","ts_exp_PEP",502.975,570,638.025,9,"status quo"
"Adamawa","ts_exp_PEP",507,571,644.05,10,"status quo"
"Adamawa","ts_vaccine_vials",986,1112,1236,1,"status quo"
"Adamawa","ts_vaccine_vials",1007.95,1134,1264.05,2,"status quo"
"Adamawa","ts_vaccine_vials",1010,1136,1262.05,3,"status quo"
"Adamawa","ts_vaccine_vials",1016,1138,1276,4,"status quo"
"Adamawa","ts_vaccine_vials",1010,1136,1262.1,5,"status quo"
"Adamawa","ts_vaccine_vials",1006,1140,1274,6,"status quo"
"Adamawa","ts_vaccine_vials",1000,1136,1262,7,"status quo"
"Adamawa","ts_vaccine_vials",1006,1142,1266.1,8,"status quo"
"Adamawa","ts_vaccine_vials",1005.95,1140,1276.05,9,"status quo"
"Adamawa","ts_vaccine_vials",1014,1142,1288.1,10,"status quo"
"Adamawa","ts_rabid_dogs",3282.7328125,3534.88125,3781.9928125,1,"status quo"
"Adamawa","ts_rabid_dogs",3359.93468750001,3612.6,3850.606875,2,"status quo"
"Adamawa","ts_rabid_dogs",3386.5053125,3631.25,3867.389375,3,"status quo"
"Adamawa","ts_rabid_dogs",3392.84,3634.3375,3874.30125,4,"status quo"
"Adamawa","ts_rabid_dogs",3393.71375,3629.4375,3870.08593750001,5,"status quo"
"Adamawa","ts_rabid_dogs",3379.498125,3625.9625,3864.7303125,6,"status quo"
"Adamawa","ts_rabid_dogs",3387.889375,3627.25,3883.38062500001,7,"status quo"
"Adamawa","ts_rabid_dogs",3383.549375,3629.0875,3880.82781250001,8,"status quo"
"Adamawa","ts_rabid_dogs",3372.53125,3626.69375,3870.73499999999,9,"status quo"
"Adamawa","ts_rabid_dogs",3383.3965625,3629.4875,3861.0321875,10,"status quo"
