"state","total_Median","total_LL","total_UL"
"Abia",4974.5,4563.325,5351.25
"Adamawa",1458.5,1254.2,1622.475
"Akwa Ibom",6135.5,5624.8,6661.15
"Anambra",2115.5,1823,2388.85
"Bauchi",1342.5,1192.15,1530.4
"Bayelsa",1176,982.3,1399.725
"Benue",6227.5,5455.5,7625.525
"Borno",1161.5,974.175,1296.025
"Cross River",4711,4184.4,5525.075
"Delta",236,144.875,338.35
"Ebonyi",4381.5,3778.925,5145.55
"Edo",371,262.225,496.1
"Ekiti",2003,1752.65,2337.7
"Enugu",6812.5,6093.4,7614.775
"Federal Capital Territory",513,380.05,655.5
"Gombe",689.5,581.6,819.225
"Imo",6497.5,5944.225,6982.975
"Jigawa",1129,945.8,1288.375
"Kaduna",2217,1991,2421.175
"Kano",2338.5,2080.925,2600.075
"Katsina",1498,1312.05,1681.075
"Kebbi",795,680.625,928.425
"Kogi",1028,854.15,1161.6
"Kwara",329.5,239.2,413.375
"Lagos",71,32.275,126.075
"Nasarawa",705.5,590.675,835.1
"Niger",1470.5,1311.725,1674.4
"Ogun",90.5,54.25,152.475
"Ondo",619.5,470.9,759.775
"Osun",89,43.025,149.475
"Oyo",172,110.95,256.2
"Plateau",2060.5,1839.5,2311.4
"Rivers",7083.5,6510.35,7533.675
"Sokoto",955,812.375,1122.05
"Taraba",1199,1048.5,1397.5
"Yobe",597.5,491.025,734.85
"Zamfara",817,702.3,991.825
