"state","total_Median","total_LL","total_UL"
"Abia",976.5,795.6,1192.3
"Adamawa",1099.5,899.075,1316.6
"Akwa Ibom",1349.5,1114.125,1622.275
"Anambra",1441.5,1197.175,1703.5
"Bauchi",1615,1340.5,1910.275
"Bayelsa",577.5,422.75,738.35
"Benue",1458.5,1210.825,1740.55
"Borno",1430.5,1185.875,1702.35
"Cross River",993.5,785.175,1207.025
"Delta",1426,1171.8,1687.25
"Ebonyi",736,574.275,930.025
"Edo",1111.5,920.6,1337.825
"Ekiti",809.5,624.7,1004.3
"Enugu",1117.5,921.175,1352.625
"Federal Capital Territory",463.5,335.325,604.775
"Gombe",805,624.6,1012.075
"Imo",1348,1110.175,1607.875
"Jigawa",1502.5,1256.2,1777.45
"Kaduna",2131.5,1800.5,2448.075
"Kano",3264.5,2818.975,3732.85
"Katsina",2007,1699.875,2328.55
"Kebbi",1115.5,902.975,1336.45
"Kogi",1142.5,926.175,1391.7
"Kwara",809.5,635.175,999.35
"Lagos",3187,2776.35,3619.75
"Nasarawa",634.5,467.75,806.675
"Niger",1357.5,1113.925,1616.7
"Ogun",1288,1067.7,1548.45
"Ondo",1180.5,967.075,1427.55
"Osun",1174,953.55,1427.725
"Oyo",1930.5,1634.55,2233.4
"Plateau",1104,906.7,1328.125
"Rivers",1790.5,1485.975,2076.6
"Sokoto",1273,1036.075,1540.875
"Taraba",777,607.65,962.775
"Yobe",793,616.275,990.35
"Zamfara",1119,894.975,1360.6
