"state","output","LL","Median","UL","year","scenario"
"Abia","ts_deaths",300,329,360.525,1,"status quo"
"Abia","ts_deaths",294,327,360.725,2,"status quo"
"Abia","ts_deaths",294.475,325.5,359,3,"status quo"
"Abia","ts_deaths",294.75,333,372.675,4,"status quo"
"Abia","ts_deaths",284.85,331.5,368.05,5,"status quo"
"Abia","ts_deaths",299.425,332,364.625,6,"status quo"
"Abia","ts_deaths",294.9,330,365.05,7,"status quo"
"Abia","ts_deaths",296.325,332,375.525,8,"status quo"
"Abia","ts_deaths",297.425,328.5,376,9,"status quo"
"Abia","ts_deaths",285.475,329,364.1,10,"status quo"
"Adamawa","ts_deaths",92.475,111,132.05,1,"status quo"
"Adamawa","ts_deaths",94.425,117,137.05,2,"status quo"
"Adamawa","ts_deaths",91.475,112,135,3,"status quo"
"Adamawa","ts_deaths",94,114,139,4,"status quo"
"Adamawa","ts_deaths",95,111.5,137.525,5,"status quo"
"Adamawa","ts_deaths",94.95,113,135,6,"status quo"
"Adamawa","ts_deaths",94.95,114,138.525,7,"status quo"
"Adamawa","ts_deaths",92,112.5,136.575,8,"status quo"
"Adamawa","ts_deaths",89.475,111,132.625,9,"status quo"
"Adamawa","ts_deaths",91.475,113,138.05,10,"status quo"
"Akwa Ibom","ts_deaths",379.475,422.5,460.525,1,"status quo"
"Akwa Ibom","ts_deaths",389.325,427.5,466.625,2,"status quo"
"Akwa Ibom","ts_deaths",386.85,424,475.2,3,"status quo"
"Akwa Ibom","ts_deaths",390.9,423.5,462.525,4,"status quo"
"Akwa Ibom","ts_deaths",376.75,426,472.525,5,"status quo"
"Akwa Ibom","ts_deaths",374.475,427,469.525,6,"status quo"
"Akwa Ibom","ts_deaths",390.475,418.5,475.15,7,"status quo"
"Akwa Ibom","ts_deaths",377.95,421,470.2,8,"status quo"
"Akwa Ibom","ts_deaths",381,426,464.15,9,"status quo"
"Akwa Ibom","ts_deaths",390.425,428.5,468.525,10,"status quo"
"Anambra","ts_deaths",266.475,311.5,379.525,1,"status quo"
"Anambra","ts_deaths",268.75,322,374.575,2,"status quo"
"Anambra","ts_deaths",256.475,308.5,377.525,3,"status quo"
"Anambra","ts_deaths",267.95,318,381.575,4,"status quo"
"Anambra","ts_deaths",261.375,315,383.05,5,"status quo"
"Anambra","ts_deaths",264,317.5,371,6,"status quo"
"Anambra","ts_deaths",257.85,314,381.775,7,"status quo"
"Anambra","ts_deaths",261.225,314,379.65,8,"status quo"
"Anambra","ts_deaths",265,317.5,368.1,9,"status quo"
"Anambra","ts_deaths",259.475,315.5,382,10,"status quo"
"Bauchi","ts_deaths",78.475,96,113,1,"status quo"
"Bauchi","ts_deaths",76,99,116.525,2,"status quo"
"Bauchi","ts_deaths",82.425,100,117.525,3,"status quo"
"Bauchi","ts_deaths",83,99.5,121.05,4,"status quo"
"Bauchi","ts_deaths",79.95,97,117,5,"status quo"
"Bauchi","ts_deaths",83.475,97,113.575,6,"status quo"
"Bauchi","ts_deaths",79,99.5,118,7,"status quo"
"Bauchi","ts_deaths",78.475,97,117.525,8,"status quo"
"Bauchi","ts_deaths",77.9,99,120.525,9,"status quo"
"Bauchi","ts_deaths",78.95,98,119,10,"status quo"
"Bayelsa","ts_deaths",72.475,93.5,115,1,"status quo"
"Bayelsa","ts_deaths",67.85,95.5,117.525,2,"status quo"
"Bayelsa","ts_deaths",72.475,92,115.525,3,"status quo"
"Bayelsa","ts_deaths",72.475,93,113.525,4,"status quo"
"Bayelsa","ts_deaths",72.475,94,115,5,"status quo"
"Bayelsa","ts_deaths",75,93,116.525,6,"status quo"
"Bayelsa","ts_deaths",74.475,95,113.05,7,"status quo"
"Bayelsa","ts_deaths",70.95,93,113.525,8,"status quo"
"Bayelsa","ts_deaths",75.475,92.5,117.675,9,"status quo"
"Bayelsa","ts_deaths",72,94,111.05,10,"status quo"
"Benue","ts_deaths",358,425,499.1,1,"status quo"
"Benue","ts_deaths",366.9,427,521.725,2,"status quo"
"Benue","ts_deaths",355.9,424,513.525,3,"status quo"
"Benue","ts_deaths",362.9,426.5,517.2,4,"status quo"
"Benue","ts_deaths",362.475,427,503.05,5,"status quo"
"Benue","ts_deaths",356.325,433,506.575,6,"status quo"
"Benue","ts_deaths",352.8,421.5,502.725,7,"status quo"
"Benue","ts_deaths",364.425,430.5,501,8,"status quo"
"Benue","ts_deaths",359.425,419.5,491.575,9,"status quo"
"Benue","ts_deaths",352.95,425,513.05,10,"status quo"
"Cross River","ts_deaths",254.9,308.5,373.525,1,"status quo"
"Cross River","ts_deaths",254,311,375.3,2,"status quo"
"Cross River","ts_deaths",250.75,307,382.575,3,"status quo"
"Cross River","ts_deaths",247.425,309,376.1,4,"status quo"
"Cross River","ts_deaths",257.475,314,368.525,5,"status quo"
"Cross River","ts_deaths",252,316,369.525,6,"status quo"
"Cross River","ts_deaths",257.85,309,376.525,7,"status quo"
"Cross River","ts_deaths",254.95,313,375,8,"status quo"
"Cross River","ts_deaths",250.375,310,378.525,9,"status quo"
"Cross River","ts_deaths",243.95,310.5,367.525,10,"status quo"
"Delta","ts_deaths",210.475,263,306.05,1,"status quo"
"Delta","ts_deaths",214.95,261.5,306.625,2,"status quo"
"Delta","ts_deaths",214.425,255,311,3,"status quo"
"Delta","ts_deaths",215.9,261.5,312.575,4,"status quo"
"Delta","ts_deaths",213.95,261,309.1,5,"status quo"
"Delta","ts_deaths",213.9,258.5,316,6,"status quo"
"Delta","ts_deaths",210.95,256.5,307.05,7,"status quo"
"Delta","ts_deaths",214.425,256,312.575,8,"status quo"
"Delta","ts_deaths",208.475,258,306.575,9,"status quo"
"Delta","ts_deaths",209.95,255.5,310,10,"status quo"
"Ebonyi","ts_deaths",292.225,351,419.15,1,"status quo"
"Ebonyi","ts_deaths",292.95,355,433.35,2,"status quo"
"Ebonyi","ts_deaths",297.75,362,438,3,"status quo"
"Ebonyi","ts_deaths",292.475,363,427.525,4,"status quo"
"Ebonyi","ts_deaths",292.95,353.5,414.525,5,"status quo"
"Ebonyi","ts_deaths",294.95,350.5,427.05,6,"status quo"
"Ebonyi","ts_deaths",301.475,359,429.975,7,"status quo"
"Ebonyi","ts_deaths",303.475,352,445.525,8,"status quo"
"Ebonyi","ts_deaths",293.375,352,428.675,9,"status quo"
"Ebonyi","ts_deaths",293.85,357.5,429.05,10,"status quo"
"Edo","ts_deaths",85.95,106.5,128.15,1,"status quo"
"Edo","ts_deaths",89,106.5,131.525,2,"status quo"
"Edo","ts_deaths",84.95,107,131.15,3,"status quo"
"Edo","ts_deaths",89.475,107.5,125.525,4,"status quo"
"Edo","ts_deaths",87,106,123.525,5,"status quo"
"Edo","ts_deaths",88,107,121.525,6,"status quo"
"Edo","ts_deaths",87,107.5,128.525,7,"status quo"
"Edo","ts_deaths",86.95,107,123.05,8,"status quo"
"Edo","ts_deaths",81.475,107,126.575,9,"status quo"
"Edo","ts_deaths",85.475,104,127,10,"status quo"
"Ekiti","ts_deaths",119.375,141,169.1,1,"status quo"
"Ekiti","ts_deaths",118.475,145,170.625,2,"status quo"
"Ekiti","ts_deaths",114.95,143,171.575,3,"status quo"
"Ekiti","ts_deaths",118.475,145,179.1,4,"status quo"
"Ekiti","ts_deaths",119,141,171.525,5,"status quo"
"Ekiti","ts_deaths",112.9,141,167.525,6,"status quo"
"Ekiti","ts_deaths",121,141,168.1,7,"status quo"
"Ekiti","ts_deaths",116.95,142,171.525,8,"status quo"
"Ekiti","ts_deaths",119,143,171.525,9,"status quo"
"Ekiti","ts_deaths",113.8,141,175.525,10,"status quo"
"Enugu","ts_deaths",391.95,458,554.4,1,"status quo"
"Enugu","ts_deaths",371.275,458,537.525,2,"status quo"
"Enugu","ts_deaths",380.95,461,535.725,3,"status quo"
"Enugu","ts_deaths",387.325,458.5,543.15,4,"status quo"
"Enugu","ts_deaths",385.425,462.5,536.525,5,"status quo"
"Enugu","ts_deaths",397.325,458.5,556.1,6,"status quo"
"Enugu","ts_deaths",389.475,459,554.2,7,"status quo"
"Enugu","ts_deaths",379.475,455.5,570.525,8,"status quo"
"Enugu","ts_deaths",377.425,454.5,546.525,9,"status quo"
"Enugu","ts_deaths",389.475,462,559.05,10,"status quo"
"Gombe","ts_deaths",36.475,51,65.525,1,"status quo"
"Gombe","ts_deaths",39.425,50,62.525,2,"status quo"
"Gombe","ts_deaths",37.475,51,65.525,3,"status quo"
"Gombe","ts_deaths",39,51,62,4,"status quo"
"Gombe","ts_deaths",39.475,53,64,5,"status quo"
"Gombe","ts_deaths",36.95,49,62.05,6,"status quo"
"Gombe","ts_deaths",36,47,61.525,7,"status quo"
"Gombe","ts_deaths",36.475,49,66,8,"status quo"
"Gombe","ts_deaths",37.425,50,63.05,9,"status quo"
"Gombe","ts_deaths",37.95,50.5,65.525,10,"status quo"
"Imo","ts_deaths",395.425,436,476.525,1,"status quo"
"Imo","ts_deaths",396.75,439,504.575,2,"status quo"
"Imo","ts_deaths",392.9,439.5,475.575,3,"status quo"
"Imo","ts_deaths",395.75,448,481.525,4,"status quo"
"Imo","ts_deaths",399.95,441,498,5,"status quo"
"Imo","ts_deaths",393.7,437.5,489.2,6,"status quo"
"Imo","ts_deaths",389.9,442,490.575,7,"status quo"
"Imo","ts_deaths",394.375,439.5,497.05,8,"status quo"
"Imo","ts_deaths",403.425,442,487.525,9,"status quo"
"Imo","ts_deaths",399.95,441,485.575,10,"status quo"
"Jigawa","ts_deaths",71.95,89.5,113,1,"status quo"
"Jigawa","ts_deaths",74.475,90,110,2,"status quo"
"Jigawa","ts_deaths",76.475,92,112.525,3,"status quo"
"Jigawa","ts_deaths",70.475,91,115,4,"status quo"
"Jigawa","ts_deaths",74.425,92,111.525,5,"status quo"
"Jigawa","ts_deaths",78.475,93,111.525,6,"status quo"
"Jigawa","ts_deaths",73.475,92,112.05,7,"status quo"
"Jigawa","ts_deaths",73.475,91,115,8,"status quo"
"Jigawa","ts_deaths",68.375,93,113,9,"status quo"
"Jigawa","ts_deaths",75,93,114.525,10,"status quo"
"Kaduna","ts_deaths",126.475,148,169.1,1,"status quo"
"Kaduna","ts_deaths",123.475,147.5,174.15,2,"status quo"
"Kaduna","ts_deaths",124.475,147,169.1,3,"status quo"
"Kaduna","ts_deaths",119.475,145,179.525,4,"status quo"
"Kaduna","ts_deaths",120.85,146,173.05,5,"status quo"
"Kaduna","ts_deaths",122.425,147,170.675,6,"status quo"
"Kaduna","ts_deaths",125.475,146,174.05,7,"status quo"
"Kaduna","ts_deaths",124,146,168,8,"status quo"
"Kaduna","ts_deaths",122.275,149.5,177.1,9,"status quo"
"Kaduna","ts_deaths",118.375,146,173,10,"status quo"
"Kano","ts_deaths",135.425,157.5,183.575,1,"status quo"
"Kano","ts_deaths",137.425,163,183.05,2,"status quo"
"Kano","ts_deaths",137,162,191.525,3,"status quo"
"Kano","ts_deaths",136.85,161,190.575,4,"status quo"
"Kano","ts_deaths",138.475,162,190.05,5,"status quo"
"Kano","ts_deaths",139.95,160,186.525,6,"status quo"
"Kano","ts_deaths",132.475,161,188.575,7,"status quo"
"Kano","ts_deaths",135.475,160,188.675,8,"status quo"
"Kano","ts_deaths",137.425,157.5,181.525,9,"status quo"
"Kano","ts_deaths",123.9,160,180.525,10,"status quo"
"Katsina","ts_deaths",86.475,103,120.675,1,"status quo"
"Katsina","ts_deaths",86,103,128.1,2,"status quo"
