"state","output","LL","Median","UL","year","scenario"
"Abia","ts_deaths",74.475,92,107.525,1,"status quo"
"Abia","ts_deaths",81.475,97,118,2,"status quo"
"Abia","ts_deaths",77.475,98.5,121.15,3,"status quo"
"Abia","ts_deaths",80.475,99,116,4,"status quo"
"Abia","ts_deaths",81.95,99,124.05,5,"status quo"
"Abia","ts_deaths",82.95,99,121.525,6,"status quo"
"Abia","ts_deaths",78,98,120,7,"status quo"
"Abia","ts_deaths",80,99,123,8,"status quo"
"Abia","ts_deaths",77.85,97,121.525,9,"status quo"
"Abia","ts_deaths",80.95,98,119.525,10,"status quo"
"Adamawa","ts_deaths",85.95,104,127.05,1,"status quo"
"Adamawa","ts_deaths",91.95,110,127.525,2,"status quo"
"Adamawa","ts_deaths",86.475,109,128.05,3,"status quo"
"Adamawa","ts_deaths",89.475,111,132.575,4,"status quo"
"Adamawa","ts_deaths",89.95,111,133.525,5,"status quo"
"Adamawa","ts_deaths",88.475,109.5,133.05,6,"status quo"
"Adamawa","ts_deaths",94.475,113,132.575,7,"status quo"
"Adamawa","ts_deaths",88.425,110,133,8,"status quo"
"Adamawa","ts_deaths",93.95,109.5,132.675,9,"status quo"
"Adamawa","ts_deaths",89.95,112.5,136.575,10,"status quo"
"Akwa Ibom","ts_deaths",104.475,128,153.575,1,"status quo"
"Akwa Ibom","ts_deaths",108.95,135,160.05,2,"status quo"
"Akwa Ibom","ts_deaths",109,135,165.2,3,"status quo"
"Akwa Ibom","ts_deaths",111.425,138,169.725,4,"status quo"
"Akwa Ibom","ts_deaths",113.475,134,166.575,5,"status quo"
"Akwa Ibom","ts_deaths",112.95,137.5,163.05,6,"status quo"
"Akwa Ibom","ts_deaths",118.475,136,156,7,"status quo"
"Akwa Ibom","ts_deaths",109.95,133,163.525,8,"status quo"
"Akwa Ibom","ts_deaths",110.475,137,164.05,9,"status quo"
"Akwa Ibom","ts_deaths",114.95,136,160.525,10,"status quo"
"Anambra","ts_deaths",113.475,135,164.525,1,"status quo"
"Anambra","ts_deaths",118,143,170,2,"status quo"
"Anambra","ts_deaths",117.475,143,169.525,3,"status quo"
"Anambra","ts_deaths",121.425,148,169,4,"status quo"
